Variant	Marker
rs10898849	mh11KK-037
rs10900038	mh10USC-10qA
rs10901776	mh10SHY-003
rs10904788	mh10LV-03
rs10905513	mh10ZBF-001
rs10906617	mh10KK-169
rs10906716	mh10CP-005
rs10918374	mh01AT-03
rs10920178	mh01ZHA-009
rs10927447	mh01CP-008
rs10927784	mh01ZBF-001
rs10930308	mh02USC-2qC
rs10933619	mh02USC-2qE
rs10938693	mh04USC-4pA
rs10939388	mh04ZHA-001
rs10939597	mh04ZHA-002
rs10949381	mh06KK-030
rs10952319	mh07USC-7qC
rs10962598	mh09KK-020
rs10962599	mh09KK-020
rs10968632	mh09SHY-001
rs10968633	mh09SHY-001
rs10980041	mh09SHY-002
rs10981667	mh09ZHA-008
rs10987426	mh09LV-02
rs10993851	mh09USC-9qC
rs11025352	mh11KKCS-183
rs11029986	mh11ZBF-001
rs11049080	mh12KKCS-201
rs11049081	mh12KKCS-201
rs11062051	mh12CP-008
rs11062734	mh12KK-043
rs11068953	mh12AT-25
rs11068953	mh12KK-046
rs11068953	mh12KKCS-046
rs1107162	mh11KK-103
rs11078089	mh17ZBF-001
rs11084040	mh19KK-301
rs1111062	mh10KKCS-167
rs1111063	mh10KKCS-167
rs11111391	mh12KK-093
rs11119437	mh01ZHA-012
rs11123719	mh02KK-003
rs11129981	mh03USC-3pB
rs11129982	mh03USC-3pB
rs11129983	mh03USC-3pB
rs11136908	mh08KKCS-131
rs11136909	mh08KKCS-131
rs11142562	mh09USC-9qA
rs11147803	mh13SHY-002
rs11150606	mh16KK-053
rs11150747	mh17KKCS-278
rs11157032	mh14CP-004
rs11157033	mh14CP-004
rs11157034	mh14CP-004
rs11160405	mh14USC-14qD
rs111669937	mh09LV-02
rs111704353	mh03LV-01
rs111720119	mh03LV-07
rs11176418	mh12USC-12qA
rs11177060	mh12USC-12qB
rs111771128	mh03LV-01
rs111774039	mh17KKCS-272
rs11177408	mh12CP-007
rs111809057	mh02LV-08
rs111823641	mh18SHY-001
rs111828895	mh0XUSC-XqB
rs1118914	mh0XUSC-XqC
rs11189823	mh10USC-10qB
rs11189824	mh10USC-10qB
rs111950337	mh02LV-05
rs111977600	mh03LV-07
rs112046996	mh10LV-03
rs11206620	mh01CP-016
rs112127038	mh0XUSC-XqB
rs112145050	mh02KKCS-015
rs11214596	mh11AT-23
rs11214596	mh11KK-040
rs112146896	mh01ZBF-001
rs11222337	mh11KKCS-191
rs112240396	mh20KKCS-307
rs112321814	mh18ZBF-002
rs112366023	mh18ZBF-002
rs11242810	mh06KK-025
rs112429373	mh03LV-07
rs112437259	mh03SHY-001
rs1124492	mh11KK-089
rs1124493	mh11KK-089
rs112509385	mh0XUSC-XqE
rs112552144	mh13KKCS-221
rs11256056	mh10ZBF-001
rs11256580	mh10USC-10pA
rs11257345	mh10CP-006
rs112639679	mh10KKCS-162
rs112657409	mh21PK-MX1s
rs112664490	mh16SHY-003
rs112787132	mh03LV-07
rs112808602	mh09SHY-001
rs112906811	mh11KKCS-183
rs113141650	mh22PK-104638
rs113213828	mh06KKCS-090
rs113250186	mh02LV-08
rs113440300	mh02LV-05
rs113507589	mh12KKCS-209
rs113511754	mh16KKCS-049
rs113565897	mh08KKCS-137
rs113732191	mh13KKCS-221
rs113739994	mh11KKCS-180
rs113848476	mh20LV-04
rs113888184	mh06KKCS-008
rs114169269	mh13KKCS-221
rs114208229	mh01KKCS-001
rs114216136	mh06SHY-002
rs114233438	mh08SHY-002
rs114239369	mh11KKCS-190
rs114345885	mh13KKCS-221
rs114395414	mh21KKCS-320
rs114396148	mh14PK-72639
rs114422847	mh02KKCS-013
rs114430711	mh01SHY-001
rs114451474	mh05SHY-003
rs114484337	mh06LV-09
rs114511162	mh15SHY-004
rs114630930	mh01KKCS-212
rs114697867	mh09SHY-001
rs114698114	mh14SHY-003
rs114711668	mh01KKCS-212
rs114774962	mh02KKCS-029
rs114965032	mh14KKCS-227
rs114987572	mh09KKCS-010
rs115054914	mh02KKCS-029
rs11506774	mh09ZHA-008
rs115110074	mh03LV-06
rs115242802	mh06KKCS-008
rs115260715	mh13KKCS-225
rs115278730	mh13KKCS-223
rs115309688	mh01KKCS-172
rs115374779	mh06PK-25713
rs115414340	mh05SHY-003
rs115541352	mh10LV-03
rs115575506	mh05KKCS-178
rs115605200	mh16KKCS-049
rs1156731	mh09KKCS-153
rs11568183	mh22ZHA-008
rs11568305	mh17KK-105
rs11568732	mh10KK-083
rs11572076	mh10KK-085
rs11572103	mh10KK-084
rs115741140	mh06SHY-002
rs11589785	mh01KKCS-212
rs11594714	mh10USC-10qB
rs115968966	mh20SHY-002
rs115971745	mh07KKCS-009
rs116092316	mh05KKCS-169
rs11610218	mh12SHY-001
rs11613749	mh12KK-043
rs116146231	mh20KKCS-307
rs116177500	mh17KKCS-013
rs116209949	mh0XUSC-XqA
rs116231064	mh03KKCS-018
rs11626442	mh14USC-14qD
rs116278333	mh05KKCS-170
rs11629333	mh14USC-14qC
rs11631544	mh15KK-104
rs1163850	mh13USC-13qD
rs1163851	mh13USC-13qD
rs11641186	mh16ZHA-009
rs11641193	mh16ZHA-009
rs11642586	mh16KKCS-049
rs116463395	mh11KKCS-181
rs11649432	mh16USC-16pA
rs11651201	mh17KKCS-013
rs11651204	mh17KKCS-013
rs116560588	mh12KKCS-202
rs11657785	mh17KK-014
rs11660240	mh18ZHA-004
rs116603841	mh05SHY-001
rs116644437	mh05KKCS-178
rs116697803	mh08PK-46625
rs11672621	mh19USC-19qA
rs11687264	mh02SHY-002
rs11691107	mh02KK-003
rs11692946	mh02ZHA-008
rs116941102	mh13LV-10
rs11695953	mh02ZHA-013
rs11697918	mh20KKCS-306
rs117063877	mh06SHY-004
rs11710159	mh03USC-3pA
rs11711259	mh03SHY-005
rs11714810	mh03CP-005
rs117206377	mh16KKCS-255
rs11725922	mh04AT-12
rs11725922	mh04KK-013
rs11725922	mh04KKCS-013
rs117262471	mh01USC-1qC
rs117357547	mh14SHY-003
rs117388489	mh10PK-62104
rs117438876	mh05SHY-003
rs11746050	mh05SHY-003
rs117526954	mh08KKCS-131
rs11756056	mh06USC-6qA
rs11767982	mh07ZBF-001
rs11769538	mh07USC-7pA
rs11769542	mh07USC-7pA
rs11769593	mh07USC-7qC
rs11773043	mh07ZHA-009
rs11775090	mh08KKCS-131
rs117778907	mh12SHY-001
rs117797856	mh11PK-62906
rs11782143	mh08KKCS-131
rs11783687	mh08ZHA-010
rs117862404	mh22PK-104638
rs11789647	mh09KKCS-010
rs11789647	mh09USC-9pA
rs118026388	mh19ZHA-006
rs11810587	mh01KK-205
rs11810587	mh01KKCS-205
rs11816330	mh10USC-10pB
rs11818646	mh10CP-006
rs11830564	mh12USC-12qC
rs11830584	mh12USC-12qC
rs11834107	mh12KKCS-201
rs11835920	mh12USC-12qB
rs11843065	mh13KKCS-221
rs11853339	mh15SHY-003
rs11853583	mh15SHY-003
rs11858217	mh15SHY-001
rs11868709	mh17KK-055
rs11872713	mh18USC-18qB
rs1192203	mh13KKCS-223
rs1192204	mh13AT-30
rs1192204	mh13KK-223
rs1192204	mh13KKCS-223
rs1192205	mh13AT-30
rs1192205	mh13KK-223
rs1192205	mh13KKCS-223
rs11927501	mh03SHY-002
rs11932595	mh04KK-074
rs11936149	mh04USC-4pA
rs11952868	mh05SHY-001
rs1196416099	mh06PK-24844
rs11979296	mh07PK-38311
rs12003360	mh09KKCS-145
rs12005199	mh09KKCS-145
rs12026749	mh01CP-012
rs12028799	mh01SHY-001
rs12031966	mh01USC-1pD
rs12036383	mh01KK-135
rs1204206	mh06PK-24844
rs1204207	mh06PK-24844
rs1204208	mh06PK-24844
rs12118941	mh01KKCS-213
rs12120379	mh01KKCS-213
rs12121078	mh01KKCS-212
rs12123330	mh01KK-106
rs12127700	mh01SHY-001
rs12141154	mh01USC-1qD
rs12200756	mh06LV-09
rs12202010	mh06CP-003
rs12219128	mh10LV-03
rs12219154	mh10LV-03
rs12248560	mh10KK-083
rs1225048	mh03KK-150
rs1225048	mh03KKCS-150
rs1225049	mh03KK-150
rs1225049	mh03KKCS-150
rs1225050	mh03AT-09
rs1225050	mh03KK-150
rs1225050	mh03KKCS-150
rs1225051	mh03AT-09
rs1225051	mh03KK-150
rs1225051	mh03KKCS-150
rs12273809	mh11PK-63643
rs12273809	mh11USC-11pB
rs12289401	mh11AT-22
rs12289401	mh11KK-191
rs12289401	mh11KKCS-191
rs12289831	mh11CP-003
rs12321049	mh12CP-008
rs12325411	mh16USC-16pA
rs12337414	mh09LV-02
rs12350919	mh09LV-02
rs12359688	mh10KK-170
rs12359688	mh10KKCS-170
rs12360952	mh11KKCS-180
rs1238697	mh02SHY-004
rs12393663	mh0XUSC-XqE
rs12420819	mh11KK-191
rs12420819	mh11KKCS-191
rs12421109	mh11AT-22
rs12421109	mh11KK-191
rs12421109	mh11KKCS-191
rs12422771	mh12USC-12pA
rs12426815	mh12USC-12pA
rs12436504	mh14CP-003
rs12440416	mh15CP-003
rs12449382	mh17ZBF-001
rs12450979	mh17CP-005
rs12451902	mh17CP-005
rs12456514	mh18SHY-002
rs12462026	mh19KK-057
rs12464185	mh02KK-202
rs12469721	mh02AT-05
rs12469721	mh02KK-134
rs12469721	mh02KKCS-134
rs12471106	mh02LV-08
rs12474737	mh02LV-08
rs12494698	mh03KK-020
rs12498797	mh04USC-4pA
rs12501341	mh04ZHA-001
rs1251078	mh01KK-072
rs1251079	mh01KK-072
rs12526513	mh06SHY-005
rs1252892	mh10SHY-002
rs12532553	mh07USC-7qC
rs12532554	mh07USC-7qC
rs1253685	mh14SHY-002
rs1253686	mh14SHY-002
rs1253687	mh14SHY-002
rs12555748	mh09KKCS-010
rs12555748	mh09USC-9pA
rs12571438	mh10LV-03
rs12577507	mh11USC-11pA
rs12596608	mh16PK-83483
rs12615620	mh02USC-2qD
rs12617010	mh02AT-07
rs12617010	mh02KK-136
rs12617010	mh02KKCS-136
rs12623957	mh02KK-139
rs12630811	mh03SHY-004
rs12648024	mh04SHY-003
rs12648443	mh04KK-015
rs1265156	mh06SHY-002
rs1265157	mh06SHY-002
rs12653673	mh05CP-006
rs12674877	mh08SHY-001
rs12695349	mh03KKCS-018
rs12699242	mh07USC-7pA
rs12708467	mh15USC-15qB
rs12717560	mh14KK-048
rs12717560	mh14KKCS-048
rs12765335	mh10SHY-003
rs12768641	mh10USC-10qC
rs12777199	mh10KKCS-162
rs12781286	mh10LV-03
rs1280099	mh04KK-021
rs1280100	mh04KK-021
rs12802112	mh11KK-180
rs12802112	mh11KKCS-180
rs12827386	mh12CP-003
rs12828852	mh12CP-003
rs1283256	mh01CP-012
rs12859370	mh13CP-010
rs12877457	mh13ZHA-002
rs12878166	mh14KK-048
rs12878166	mh14KKCS-048
rs12879112	mh14SHY-003
rs12879393	mh14KKCS-048
rs12885784	mh14KKCS-227
rs12899727	mh15CP-001
rs12909514	mh15USC-15qA
rs12913832	mh15KK-058
rs12914028	mh15PK-75170
rs12914032	mh15PK-75170
rs12914037	mh15PK-75170
rs12914188	mh15PK-75170
rs12915332	mh15PK-75170
rs12922936	mh16ZHA-006
rs12929083	mh16KK-049
rs12929083	mh16KKCS-049
rs12930975	mh16PK-83362
rs12951414	mh17CP-005
rs12963225	mh18SHY-001
rs12963608	mh18SHY-001
rs12964283	mh18USC-18pA
rs12965396	mh18USC-18pA
rs12969830	mh18USC-18pA
rs12970683	mh18CP-003
rs12978036	mh19USC-19qA
rs12981234	mh19SHY-001
rs12985452	mh19AT-47
rs12985452	mh19KK-299
rs12985452	mh19KKCS-299
rs12999343	mh02KKCS-029
rs13021132	mh02KKCS-022
rs13028755	mh02LV-05
rs13036739	mh20KK-016
rs13041705	mh20SHY-001
rs13044057	mh20LV-04
rs13044611	mh20KK-035
rs13057610	mh22KKCS-328
rs13066152	mh03CP-005
rs13069426	mh03SHY-001
rs13082821	mh03KKCS-016
rs13087672	mh03LV-01
rs13089179	mh03LV-01
rs13115268	mh04USC-4qA
rs13131164	mh04KK-013
rs13131164	mh04KKCS-013
rs13152013	mh04USC-4pA
rs13158027	mh05ZBF-001
rs13228137	mh07USC-7pC
rs13238865	mh07USC-7pC
rs13244868	mh07KKCS-009
rs13265601	mh08ZHA-011
rs13268053	mh08ZHA-011
rs13271560	mh08SHY-002
rs13272409	mh08ZHA-008
rs13275871	mh08SHY-002
rs13286006	mh09SHY-002
rs13286306	mh09SHY-002
rs13291248	mh09LV-02
rs13291545	mh09LV-02
rs13292438	mh09LV-02
rs1331557	mh13USC-13qC
rs1336130	mh01KK-205
rs1336130	mh01KKCS-205
rs1336131	mh01KKCS-205
rs13381301	mh18SHY-001
rs13381738	mh18SHY-001
rs13400652	mh02KKCS-031
rs13400673	mh02KKCS-031
rs13403886	mh02SHY-003
rs1340493	mh13USC-13qB
rs13415789	mh02SHY-003
rs13418343	mh02LV-08
rs13418344	mh02LV-08
rs13422174	mh02KK-202
rs13424991	mh02KK-004
rs1359852	mh10SHY-001
rs136177	mh22KK-064
rs1364038	mh05KK-121
rs1371048	mh02KK-201
rs1374748	mh02KK-073
rs137855596	mh02LV-08
rs1378757	mh02USC-2qB
rs137893265	mh10SHY-003
rs137905761	mh03SHY-001
rs138001968	mh02LV-05
rs138204536	mh18SHY-002
rs138218726	mh13SHY-002
rs138242646	mh03LV-07
rs1382755	mh04ZBF-001
rs138362286	mh01KKCS-205
rs138375494	mh04SHY-001
rs138378230	mh20LV-04
rs138414706	mh20LV-04
rs138500924	mh09SHY-001
rs138524547	mh02LV-05
rs138651646	mh19SHY-002
rs138694002	mh03SHY-003
rs138853749	mh20LV-04
rs138964341	mh20SHY-001
rs139023539	mh11KKCS-183
rs139059159	mh10LV-03
rs1390950	mh08KK-032
rs139200695	mh22KKCS-061
rs1393134	mh05USC-5pA
rs139450831	mh15SHY-001
rs139451798	mh19KKCS-299
rs1395579	mh16KK-302
rs1395579	mh16KKCS-302
rs1395580	mh16KK-302
rs1395580	mh16KKCS-302
rs1395581	mh16KKCS-302
rs1395582	mh16KK-302
rs1395582	mh16KKCS-302
rs139574449	mh12KKCS-199
rs1395980	mh0XUSC-XpC
rs1395981	mh0XUSC-XpC
rs139634066	mh19SHY-001
rs139873540	mh12KKCS-046
rs139954003	mh19KKCS-300
rs140084340	mh13LV-10
rs140139419	mh06SHY-005
rs140178322	mh08SHY-003
rs140345281	mh12KKCS-201
rs140353993	mh08SHY-001
rs140436204	mh16KKCS-259
rs140446743	mh04SHY-002
rs140581511	mh20LV-04
rs140587940	mh02KKCS-015
rs140794158	mh03KKCS-017
rs140794158	mh03SHY-003
rs1408328	mh09KKCS-010
rs1408329	mh09KKCS-010
rs1408329	mh09USC-9pA
rs1408330	mh09KKCS-010
rs1408330	mh09USC-9pA
rs140864246	mh08KKCS-131
rs1408800	mh09KK-034
rs1408801	mh09KK-034
rs1410075	mh10SHY-001
rs1410076	mh10SHY-001
rs1410077	mh10SHY-001
rs141749783	mh17ZBF-001
rs141768575	mh20LV-04
rs142072969	mh03SHY-002
rs1420860	mh08CP-009
rs142296722	mh20LV-04
rs142312951	mh18SHY-002
rs142346539	mh18SHY-001
rs1423676	mh05KK-123
rs142556984	mh15SHY-001
rs142663785	mh13SHY-002
rs1426651	mh11KKCS-190
rs142675718	mh09SHY-003
rs142691383	mh03SHY-003
rs142864424	mh10SHY-002
rs143043578	mh02LV-05
rs143060381	mh09SHY-001
rs1430625	mh02SHY-002
rs1430626	mh02SHY-002
rs143072335	mh04CP-005
rs1431897	mh02SHY-004
rs143205094	mh05KKCS-170
rs143280073	mh14SHY-002
rs143313202	mh20LV-04
rs143339325	mh02LV-05
rs143423041	mh16KKCS-259
rs1437125	mh05KKCS-178
rs143851316	mh05KKCS-170
rs143873209	mh15PK-75170
rs143911623	mh06SHY-005
rs143993930	mh08SHY-001
rs144123929	mh06SHY-003
rs144238176	mh09LV-02
rs1442492	mh04KK-017
rs144321744	mh16SHY-003
rs144587489	mh04SHY-004
rs144704589	mh02LV-08
rs144782389	mh03SHY-002
rs144858626	mh07ZHA-009
rs145035089	mh12KKCS-201
rs1452267	mh10KK-087
rs145317771	mh07SHY-002
rs145717803	mh16KKCS-259
rs145799703	mh17KKCS-012
rs145820871	mh20LV-04
rs145924004	mh03SHY-001
rs146125021	mh18SHY-002
rs1462270	mh14USC-14qD
rs146259843	mh15SHY-001
rs146279227	mh10KKCS-167
rs146336708	mh09SHY-004
rs146510381	mh16SHY-001
rs146597534	mh13LV-10
rs146601764	mh20SHY-002
rs1466020	mh02KK-131
rs1468788	mh02USC-2qA
rs1468789	mh02USC-2qA
rs146885959	mh20SHY-002
rs146933209	mh14SHY-002
rs146988848	mh14KKCS-227
rs146990371	mh04SHY-001
rs147029778	mh03LV-07
rs1471734	mh08ZHA-003
rs147272602	mh06KKCS-008
rs147314904	mh03LV-01
rs147490454	mh02KKCS-013
rs147561155	mh13SHY-001
rs147565782	mh06SHY-001
rs147655137	mh18SHY-001
rs147699838	mh17KKCS-013
rs147715323	mh15KKCS-066
rs147749361	mh04SHY-002
rs147809360	mh12KKCS-209
rs1479947	mh03SHY-004
rs148036593	mh07KKCS-009
rs148317886	mh08SHY-007
rs148416560	mh15SHY-002
rs148665640	mh10ZHA-002
rs148696985	mh04KKCS-030
rs148880997	mh14PK-72639
rs148884074	mh14KKCS-227
rs148903030	mh05SHY-002
rs148944690	mh16KKCS-259
rs148957716	mh15KKCS-066
rs149135147	mh20LV-04
rs149195448	mh14KKCS-048
rs149251008	mh07SHY-001
rs149251530	mh15SHY-001
rs149359261	mh02SHY-001
rs149471008	mh16KKCS-255
rs149485848	mh06SHY-005
rs149699025	mh03SHY-005
rs149725051	mh08SHY-002
rs149732937	mh20LV-04
rs149759443	mh21KKCS-318
rs149818672	mh16KKCS-049
rs149859006	mh11KKCS-190
rs149872751	mh10LV-03
rs149890778	mh07ZHA-009
rs150062515	mh03LV-01
rs150108526	mh03KKCS-017
rs150108526	mh03SHY-003
rs150209521	mh07KK-082
rs1503767	mh12AT-25
rs1503767	mh12KK-046
rs1503767	mh12KKCS-046
rs150466498	mh08KKCS-131
rs150471849	mh04SHY-002
rs150600212	mh13SHY-002
rs150628	mh05CP-004
rs150690612	mh20LV-04
rs1507022	mh16KKCS-302
rs150723478	mh10LV-03
rs150844118	mh19KKCS-300
rs150881536	mh03LV-01
rs150884041	mh06LV-09
rs150951692	mh09SHY-002
rs151158400	mh16SHY-003
rs1519654	mh02KK-213
rs1527874	mh06ZBF-001
rs1527875	mh06ZBF-001
rs1528976	mh07USC-7qC
rs1532958	mh15SHY-002
rs1533622	mh01AT-02
rs1533622	mh01KK-205
rs1533622	mh01KKCS-205
rs1533623	mh01AT-02
rs1533623	mh01KK-205
rs1533623	mh01KKCS-205
rs1535837	mh09KKCS-010
rs1535838	mh09KKCS-010
rs1535838	mh09USC-9pA
rs1539547	mh13KKCS-215
rs1539548	mh13KKCS-215
rs1539549	mh13KKCS-215
rs1547909	mh04SHY-003
rs1553931	mh08SHY-003
rs1553932	mh08SHY-003
rs1557912	mh03USC-3pC
rs1557913	mh03USC-3pC
rs1559479	mh02USC-2pB
rs1559480	mh02USC-2pB
rs1559481	mh02USC-2pB
rs1563277	mh10SHY-003
rs1563446	mh17KKCS-013
rs1577179	mh10USC-10qA
rs1577180	mh10USC-10qA
rs1593165	mh16USC-16qA
rs1610400	mh01KK-117
rs1610400	mh01KKCS-117
rs1610401	mh01KK-117
rs1610401	mh01KKCS-117
rs163173	mh11KKCS-181
rs1641719	mh12KKCS-199
rs1641720	mh12KKCS-199
rs1651904	mh16PK-83362
rs1677306	mh16PK-83362
rs1677307	mh16PK-83362
rs1679910	mh01USC-1pB
rs1679911	mh01USC-1pB
rs16823166	mh02SHY-003
rs16832624	mh02KK-215
rs16835127	mh01AT-03
rs16835127	mh01KK-211
rs16839424	mh03USC-3qA
rs16839427	mh03USC-3qA
rs16840876	mh01KK-106
rs16844737	mh04KK-030
rs16844737	mh04KKCS-030
rs16850184	mh01KKCS-212
rs16854955	mh02USC-2qC
rs1686418	mh02USC-2pA
rs1686419	mh02USC-2pA
rs1686420	mh02USC-2pA
rs16883189	mh05CP-004
rs16885510	mh05USC-5qA
rs16888137	mh06USC-6pA
rs16891982	mh05KK-120
rs16897782	mh06KKCS-104
rs16904694	mh08SHY-007
rs16906685	mh08USC-8qC
rs16914504	mh09SHY-002
rs16932430	mh09KK-161
rs16932430	mh09KKCS-161
rs16940823	mh18KK-285
rs16955257	mh17KK-272
rs16955257	mh17KKCS-272
rs16956011	mh16KK-255
rs16956011	mh16KKCS-255
rs16960309	mh16ZHA-003
rs1696966	mh05ZHA-005
rs1696967	mh05ZHA-005
rs1697905	mh05USC-5pA
rs16992511	mh04USC-4pB
rs16992516	mh04USC-4pB
rs16997830	mh20KK-307
rs16997830	mh20KKCS-307
rs17002090	mh21KK-316
rs17002090	mh21KKCS-316
rs17030627	mh03KK-008
rs17040924	mh03LV-01
rs17066625	mh05ZHA-005
rs17085763	mh04KK-074
rs17088476	mh04KK-013
rs17088476	mh04KKCS-013
rs17110453	mh10KK-086
rs17124680	mh14KKCS-227
rs17124732	mh14SHY-002
rs17137917	mh11KK-187
rs17137926	mh11KK-187
rs1714017	mh04ZHA-004
rs17152079	mh10SHY-003
rs17154765	mh10KK-169
rs17168174	mh07KK-031
rs17187688	mh18AT-38
rs17187688	mh18KK-285
rs17187695	mh18AT-38
rs17187695	mh18KK-285
rs17275740	mh0XUSC-XpC
rs17320573	mh0XUSC-XpC
rs17331187	mh10LV-03
rs17352313	mh11PK-63643
rs17374068	mh06SHY-004
rs17413714	mh01KK-117
rs17413714	mh01KKCS-117
rs17431629	mh09AT-15
rs17431629	mh09KK-033
rs17488897	mh02KK-131
rs1750921	mh13KKCS-215
rs17592412	mh06USC-6qD
rs17652121	mh17KK-105
rs17670098	mh16AT-33
rs17670098	mh16KK-049
rs17670098	mh16KKCS-049
rs17670111	mh16AT-33
rs17670111	mh16KK-049
rs17670111	mh16KKCS-049
rs17674942	mh20AT-40
rs17674942	mh20KK-307
rs17674942	mh20KKCS-307
rs17717333	mh19KK-057
rs17731793	mh04KK-019
rs17753847	mh21KKCS-318
rs17758821	mh03LV-01
rs17759808	mh12SHY-001
rs1776320	mh01USC-1pC
rs17780102	mh12KK-043
rs17819677	mh12KKCS-199
rs179939	mh06KK-026
rs1799554	mh05ZHA-005
rs1799732	mh11KK-091
rs1799978	mh11KK-091
rs1800410	mh15KK-069
rs1800414	mh15KK-068
rs1801131	mh01KK-070
rs1805007	mh16KK-096
rs180728324	mh05SHY-003
rs180754893	mh13KKCS-222
rs1807939	mh11KK-092
rs180829727	mh13SHY-002
rs181195752	mh03SHY-004
rs181399861	mh03LV-07
rs181478293	mh09LV-02
rs181527219	mh20LV-04
rs181550768	mh09KKCS-145
rs181652028	mh10SHY-002
rs1816771	mh15USC-15qD
rs181771457	mh04SHY-004
rs181833960	mh15SHY-004
rs182021559	mh14SHY-001
rs182130446	mh02SHY-003
rs182224124	mh03SHY-002
rs182258088	mh13LV-10
rs182552564	mh20KKCS-307
rs182570717	mh02KKCS-014
rs182571478	mh08SHY-004
rs183047086	mh03LV-07
rs183288955	mh09LV-02
rs183360215	mh03LV-07
rs183598528	mh05SHY-001
rs183677658	mh10LV-03
rs183816954	mh15KKCS-066
rs183836696	mh16SHY-001
rs183960782	mh06SHY-001
rs184018458	mh09KKCS-161
rs184092108	mh16KKCS-255
rs184094217	mh15SHY-001
rs184147884	mh08SHY-006
rs184311299	mh09SHY-001
rs184427494	mh05SHY-003
