     Locus	       I_n	       I_a	ORCA[1-allele]	ORCA[2-allele]
mh05USC-5qC	 0.0856299	        NA	  0.070756	 0.0912931
mh05USC-5qD	 0.0497288	        NA	 0.0615805	 0.0743945
mh05ZBF-001	 0.0284529	        NA	 0.0586302	 0.0681214
mh05ZHA-002	  0.123816	        NA	 0.0669175	 0.0834713
mh05ZHA-004	  0.135336	        NA	 0.0748821	 0.0911504
mh05ZHA-005	  0.147743	        NA	 0.0779383	  0.100058
mh06CP-003	  0.130965	        NA	   0.07686	 0.0985279
mh06CP-007	 0.0935238	        NA	 0.0626582	 0.0795611
mh06KK-008	  0.536379	        NA	  0.120629	  0.162574
mh06KK-025	  0.169246	        NA	 0.0792438	 0.0961889
mh06KK-026	  0.139342	        NA	 0.0728695	 0.0937297
mh06KK-030	  0.152401	        NA	 0.0711153	 0.0948484
mh06KK-031	  0.223844	        NA	  0.072544	 0.0879165
mh06KK-080	 0.0780004	        NA	 0.0563929	 0.0699672
mh06KK-101	  0.229636	        NA	 0.0795928	 0.0998316
mh06KKCS-090	  0.204365	        NA	  0.094728	   0.13356
mh06KKCS-104	  0.272805	        NA	 0.0972354	  0.145348
 mh06LV-09	  0.682885	        NA	  0.177416	  0.288924
 mh06NH-11	  0.090699	        NA	 0.0641708	 0.0731853
mh06PK-25713	 0.0897802	        NA	 0.0697153	 0.0926293
mh06USC-6pA	 0.0443565	        NA	 0.0579346	 0.0694459
mh06USC-6pB	  0.116518	        NA	 0.0715846	 0.0874456
mh06USC-6qA	  0.117552	        NA	 0.0722306	 0.0893991
mh06USC-6qB	  0.158636	        NA	 0.0847445	  0.107605
mh06USC-6qC	  0.133342	        NA	 0.0792191	 0.0963266
mh06USC-6qD	   0.11548	        NA	 0.0712084	 0.0914706
mh06ZBF-001	  0.141757	        NA	 0.0699076	 0.0867154
mh07CP-004	  0.150182	        NA	 0.0717382	 0.0905628
mh07KK-030	 0.0511136	        NA	 0.0607556	 0.0709481
mh07KK-031	 0.0632933	        NA	 0.0564173	 0.0676299
mh07KK-081	 0.0655638	        NA	 0.0480107	  0.056594
mh07KK-082	  0.044535	        NA	 0.0603486	 0.0672794
 mh07NH-12	 0.0235462	        NA	 0.0524476	 0.0567546
mh07PK-38311	  0.100026	        NA	 0.0686633	 0.0873174
mh07USC-7pA	 0.0965286	        NA	 0.0625046	 0.0820175
mh07USC-7pB	  0.174631	        NA	 0.0839176	  0.115863
mh07USC-7pC	  0.239184	        NA	 0.0861499	  0.117013
mh07USC-7qA	 0.0656654	        NA	 0.0644894	  0.080771
mh07USC-7qB	  0.129134	        NA	 0.0707342	 0.0900928
mh07USC-7qC	  0.223748	        NA	 0.0844121	  0.115153
mh07ZBF-001	  0.117745	        NA	 0.0744001	 0.0929871
mh07ZHA-003	  0.208195	        NA	 0.0737345	   0.10694
mh07ZHA-004	 0.0740107	        NA	 0.0689673	 0.0819244
mh07ZHA-009	  0.233685	        NA	 0.0870904	  0.113916
mh08CP-009	  0.206422	        NA	 0.0771492	  0.101797
mh08KK-032	  0.140055	        NA	 0.0692034	 0.0942928
mh08KK-039	  0.395485	        NA	   0.11667	  0.165777
mh08PK-46625	  0.113179	        NA	 0.0624906	 0.0778563
mh08USC-8pA	  0.205063	        NA	 0.0765008	  0.105098
mh08USC-8pB	  0.206533	        NA	 0.0824789	  0.111633
mh08USC-8qA	   0.19243	        NA	 0.0760352	  0.101133
mh08USC-8qB	  0.133407	        NA	 0.0740787	 0.0925082
mh08USC-8qC	  0.215581	        NA	 0.0769069	 0.0947128
mh08ZBF-001	 0.0729162	        NA	 0.0630417	 0.0760302
mh08ZBF-002	 0.0784803	        NA	 0.0641451	 0.0750242
mh08ZHA-003	  0.188095	        NA	 0.0827301	  0.110512
mh08ZHA-008	  0.159162	        NA	  0.085234	  0.108784
mh08ZHA-009	 0.0948743	        NA	 0.0662345	 0.0864484
mh08ZHA-010	  0.208776	        NA	 0.0781171	  0.103134
mh08ZHA-011	 0.0957386	        NA	 0.0653664	 0.0845235
 mh09AT-15	  0.116015	        NA	 0.0707907	 0.0937669
 mh09AT-16	  0.158592	        NA	 0.0790911	  0.106007
 mh09AT-17	  0.124969	        NA	 0.0742443	 0.0948405
 mh09AT-18	 0.0513045	        NA	 0.0653432	 0.0764656
mh09KK-020	  0.328535	        NA	  0.102377	  0.131455
mh09KK-033	  0.100822	        NA	 0.0692518	 0.0903563
mh09KK-034	  0.167657	        NA	 0.0747604	 0.0919261
mh09KK-035	 0.0238505	        NA	 0.0606985	 0.0673731
mh09KK-152	  0.162987	        NA	  0.080121	   0.10818
mh09KK-153	  0.279778	        NA	  0.102075	  0.134635
mh09KK-157	  0.216271	        NA	 0.0895309	  0.120227
mh09KK-161	  0.438071	        NA	  0.087125	  0.105057
mh09KKCS-145	  0.288698	        NA	   0.10625	  0.148218
 mh09LV-02	  0.968331	        NA	  0.238839	  0.416576
 mh09NH-13	 0.0990489	        NA	 0.0719138	 0.0924282
mh09USC-9pA	  0.298914	        NA	  0.097965	  0.138884
mh09USC-9pB	  0.161631	        NA	  0.073513	  0.102978
mh09USC-9qA	  0.123581	        NA	 0.0687945	 0.0887811
mh09USC-9qB	  0.207977	        NA	 0.0814472	  0.106802
mh09USC-9qC	  0.185738	        NA	 0.0753388	  0.106462
mh09ZBF-001	  0.174349	        NA	 0.0831781	  0.107322
mh09ZHA-004	  0.174167	        NA	 0.0792021	 0.0986471
mh09ZHA-008	  0.081236	        NA	 0.0695831	 0.0877561
mh0XUSC-XpA	  0.216983	        NA	 0.0817791	   0.10622
mh0XUSC-XpB	  0.195152	        NA	 0.0816962	  0.106735
mh0XUSC-XpC	  0.132828	        NA	 0.0684216	  0.086555
mh0XUSC-XqA	  0.162689	        NA	 0.0721062	 0.0971162
mh0XUSC-XqB	  0.266642	        NA	 0.0842969	  0.105883
mh0XUSC-XqC	  0.110998	        NA	 0.0686303	 0.0861731
mh0XUSC-XqE	  0.124209	        NA	 0.0632901	 0.0818961
mh0XUSC-XqF	  0.289548	        NA	  0.081997	  0.100328
mh0XUSC-XqG	  0.197616	        NA	 0.0768051	  0.102147
mh0XUSC-XqH	   0.26128	        NA	 0.0819169	  0.106881
 mh10AT-19	  0.116827	        NA	 0.0730299	 0.0920012
mh10CP-003	  0.191545	        NA	 0.0866222	  0.114157
mh10CP-005	  0.101829	        NA	 0.0686395	 0.0827623
mh10CP-006	  0.258384	        NA	 0.0843546	   0.11237
mh10KK-083	  0.043548	        NA	 0.0522087	 0.0616374
mh10KK-084	 0.0738719	        NA	 0.0505893	 0.0605217
mh10KK-085	  0.109847	        NA	 0.0677511	 0.0814804
mh10KK-086	  0.140962	        NA	 0.0670553	 0.0873484
mh10KK-087	 0.0200509	        NA	 0.0516827	 0.0540282
mh10KK-088	  0.116307	        NA	 0.0643139	 0.0732196
mh10KK-101	  0.104739	        NA	 0.0729554	 0.0832864
mh10KK-163	  0.230244	        NA	 0.0953597	  0.131662
mh10KK-169	  0.282942	        NA	  0.102542	  0.148989
mh10KK-170	  0.246502	        NA	 0.0840479	  0.115358
 mh10LV-03	  0.883364	        NA	  0.224305	  0.386299
 mh10NH-14	  0.146067	        NA	 0.0817426	  0.101957
 mh10NH-15	 0.0764558	        NA	 0.0603919	 0.0682358
 mh10NH-16	 0.0321105	        NA	 0.0514078	 0.0581928
mh10PK-62104	 0.0482493	        NA	 0.0616815	 0.0721522
mh10USC-10pA	 0.0760795	        NA	  0.067531	 0.0844387
mh10USC-10pB	  0.243823	        NA	 0.0888776	  0.114703
mh10USC-10qA	  0.139229	        NA	 0.0783855	 0.0951966
mh10USC-10qB	  0.151219	        NA	 0.0811755	 0.0979152
mh10USC-10qC	  0.112772	        NA	 0.0709785	  0.096034
mh10ZBF-001	  0.190201	        NA	 0.0810867	  0.112092
mh10ZHA-002	 0.0900385	        NA	 0.0673331	 0.0835322
 mh11AT-20	  0.193011	        NA	 0.0846078	  0.109834
 mh11AT-21	  0.056278	        NA	 0.0616382	 0.0779651
 mh11AT-22	 0.0922195	        NA	 0.0676765	 0.0811513
 mh11AT-23	  0.180986	        NA	 0.0747088	 0.0922778
mh11CP-003	 0.0459619	        NA	  0.057262	 0.0684598
mh11CP-004	 0.0705727	        NA	 0.0640454	 0.0814841
mh11CP-005	  0.141136	        NA	 0.0736263	 0.0934017
mh11KK-036	  0.056278	        NA	 0.0616382	 0.0779651
mh11KK-037	  0.149163	        NA	 0.0756957	 0.0948855
mh11KK-038	 0.0987626	        NA	 0.0684958	  0.083095
mh11KK-039	 0.0981991	        NA	 0.0632101	 0.0752095
mh11KK-040	  0.180986	        NA	 0.0747088	 0.0922778
mh11KK-041	  0.121182	        NA	 0.0691238	 0.0841133
mh11KK-089	 0.0769928	        NA	 0.0631749	  0.079229
mh11KK-090	 0.0750507	        NA	 0.0570516	 0.0674627
mh11KK-091	  0.144486	        NA	 0.0703426	 0.0871252
mh11KK-092	  0.101736	        NA	 0.0714913	 0.0863811
mh11KK-103	  0.236987	        NA	 0.0827935	  0.111647
mh11KK-180	  0.260358	        NA	 0.0984106	  0.130696
mh11KK-187	  0.245794	        NA	 0.0904889	  0.118903
mh11KK-191	  0.175471	        NA	 0.0792596	  0.100463
mh11KKCS-180	   0.54515	        NA	   0.12933	  0.184702
mh11KKCS-190	  0.254135	        NA	 0.0915738	  0.131641
 mh11NH-17	  0.207689	        NA	 0.0815729	  0.106096
 mh11NH-18	 0.0589616	        NA	 0.0576958	 0.0691247
 mh11NH-19	  0.161421	        NA	  0.068717	 0.0840306
mh11PK-62906	  0.402949	        NA	  0.106647	  0.162921
mh11USC-11pA	  0.124699	        NA	 0.0699985	 0.0835737
mh11USC-11pB	  0.140375	        NA	 0.0684346	 0.0927003
mh11USC-11qA	 0.0997687	        NA	 0.0696866	 0.0845047
mh11USC-11qB	    0.1335	        NA	 0.0702767	 0.0887662
mh11USC-11qC	 0.0939967	        NA	 0.0749745	 0.0938605
mh11ZBF-001	 0.0755343	        NA	 0.0632588	 0.0773958
mh11ZHA-006a	  0.181816	        NA	 0.0825907	  0.111467
 mh12AT-24	 0.0747851	        NA	 0.0677608	  0.082785
 mh12AT-25	  0.135752	        NA	 0.0731259	  0.090755
mh12CP-003	  0.077281	        NA	 0.0707693	 0.0898222
mh12CP-007	 0.0898467	        NA	 0.0667103	 0.0832698
mh12CP-008	 0.0918123	        NA	  0.072374	 0.0910002
mh12KK-042	  0.231318	        NA	 0.0800469	  0.099789
mh12KK-043	   0.11364	        NA	 0.0725449	 0.0864098
mh12KK-045	  0.210396	        NA	 0.0794469	  0.100005
mh12KK-046	  0.135752	        NA	 0.0731259	  0.090755
mh12KK-092	  0.047088	        NA	 0.0578995	 0.0644154
mh12KK-093	  0.183303	        NA	 0.0705898	 0.0841259
mh12KK-202	 0.0962034	        NA	 0.0709667	 0.0879491
mh12KKCS-199	 0.0940304	        NA	 0.0743164	 0.0968101
mh12KKCS-201	  0.641467	        NA	  0.159764	  0.248001
mh12KKCS-202	 0.0967677	        NA	 0.0710638	 0.0882088
mh12KKCS-209	  0.188856	        NA	 0.0879317	  0.120944
 mh12NH-20	  0.017762	        NA	 0.0520842	 0.0567848
mh12USC-12pA	  0.210042	        NA	 0.0815821	  0.108809
mh12USC-12pB	   0.10986	        NA	 0.0684766	 0.0836343
mh12USC-12qA	 0.0532383	        NA	 0.0625777	  0.076043
mh12USC-12qB	  0.283477	        NA	 0.0900051	  0.126805
mh12USC-12qC	  0.245348	        NA	 0.0937957	  0.126905
mh12ZHA-008	  0.103579	        NA	 0.0675211	 0.0804164
 mh13AT-26	  0.163497	        NA	 0.0782423	  0.104559
 mh13AT-27	  0.061441	        NA	 0.0647591	  0.079625
 mh13AT-30	  0.062799	        NA	 0.0628438	 0.0799099
mh13CP-008	   0.16611	        NA	 0.0755297	 0.0960148
mh13CP-010	 0.0774689	        NA	 0.0618364	 0.0783783
mh13KK-047	  0.194945	        NA	 0.0820472	  0.105923
mh13KK-213	  0.151812	        NA	 0.0768563	 0.0998277
mh13KK-217	  0.166221	        NA	 0.0836955	  0.113191
mh13KK-218	  0.268727	        NA	 0.0972887	  0.134751
mh13KK-223	   0.11732	        NA	  0.075299	  0.100606
mh13KK-225	  0.118051	        NA	  0.073264	 0.0954465
mh13KK-226	  0.211564	        NA	 0.0780577	 0.0958939
mh13KKCS-217	  0.307541	        NA	  0.106027	  0.150699
mh13KKCS-225	  0.167781	        NA	 0.0795013	   0.10381
 mh13LV-10	  0.531958	        NA	   0.14004	  0.219856
mh13USC-13qA	  0.161499	        NA	 0.0845082	  0.112536
mh13USC-13qB	  0.153175	        NA	 0.0872349	  0.108311
mh13USC-13qC	  0.123574	        NA	 0.0750416	 0.0948767
mh13USC-13qD	   0.15351	        NA	  0.081744	  0.113112
mh13ZBF-001	  0.108523	        NA	 0.0726063	 0.0847965
mh13ZHA-002	  0.270811	        NA	 0.0921658	  0.126172
mh14CP-003	  0.149448	        NA	  0.078901	  0.103494
mh14CP-004	  0.105556	        NA	 0.0694613	 0.0880345
mh14KK-048	  0.168108	        NA	 0.0801673	  0.101508
mh14KK-068	  0.126775	        NA	 0.0769101	 0.0921862
mh14KK-101	  0.366623	        NA	 0.0940401	   0.11829
mh14KKCS-048	  0.262323	        NA	 0.0984384	  0.131512
 mh14NH-21	 0.0801663	        NA	 0.0665697	 0.0858497
 mh14NH-22	 0.0975608	        NA	 0.0637301	 0.0741089
mh14PK-72639	  0.205508	        NA	 0.0979498	  0.128797
mh14USC-14qA	  0.107846	        NA	 0.0732373	 0.0908313
mh14USC-14qB	  0.104334	        NA	 0.0699741	 0.0935604
mh14USC-14qC	  0.164523	        NA	 0.0716328	 0.0968959
mh14USC-14qD	  0.200481	        NA	 0.0784191	  0.100009
mh14ZHA-003	  0.145728	        NA	 0.0771153	  0.101251
mh14ZHA-006	  0.151995	        NA	 0.0778795	  0.103915
 mh15AT-31	   0.21102	        NA	 0.0819607	  0.109481
 mh15AT-32	  0.134031	        NA	 0.0764461	 0.0961355
mh15CP-001	 0.0682982	        NA	 0.0672786	  0.082452
mh15CP-003	   0.19149	        NA	 0.0707755	 0.0893878
mh15CP-004	   0.23819	        NA	 0.0765316	  0.102838
mh15KK-058	  0.379904	        NA	  0.104172	  0.136924
mh15KK-066	  0.134031	        NA	 0.0764461	 0.0961355
mh15KK-067	  0.198643	        NA	 0.0799345	  0.105781
mh15KK-068	  0.290074	        NA	 0.0842043	  0.107356
mh15KK-069	  0.230216	        NA	  0.089054	  0.110123
mh15KK-095	  0.194655	        NA	 0.0699301	  0.088818
mh15KK-104	  0.282253	        NA	 0.0860444	  0.116854
mh15KKCS-066	  0.194024	        NA	 0.0900031	  0.118183
mh15USC-15qA	  0.156422	        NA	 0.0788044	  0.102392
mh15USC-15qB	  0.197154	        NA	 0.0693008	 0.0911695
mh15USC-15qC	  0.206938	        NA	  0.082854	  0.115685
mh15USC-15qD	   0.28049	        NA	 0.0941247	  0.124916
mh15ZBF-001	  0.159441	        NA	 0.0732699	 0.0920509
 mh16AT-33	  0.124026	        NA	 0.0686897	 0.0903059
 mh16AT-34	  0.171178	        NA	 0.0837563	  0.107297
mh16CP-001	   0.10537	        NA	 0.0666165	 0.0847582
mh16KK-049	  0.157643	        NA	 0.0732925	 0.0979349
mh16KK-053	  0.437997	        NA	 0.0938678	  0.117182
mh16KK-061	  0.218183	        NA	 0.0861062	  0.110125
mh16KK-062	  0.363295	        NA	 0.0988613	  0.130479
mh16KK-096	  0.215208	        NA	 0.0717941	 0.0881443
mh16KK-255	  0.173254	        NA	 0.0843019	  0.110933
mh16KK-302	  0.246104	        NA	 0.0866763	  0.116174
mh16KKCS-011	   0.29155	        NA	  0.101595	  0.155526
mh16KKCS-302	  0.296363	        NA	 0.0959374	  0.131925
mh16PK-83362	  0.138788	        NA	 0.0713991	 0.0923482
mh16PK-83483	  0.208937	        NA	  0.079158	  0.102992
mh16PK-83544	  0.101775	        NA	 0.0703534	 0.0900715
mh16USC-16pA	  0.198068	        NA	 0.0948922	  0.114451
mh16USC-16pB	 0.0750581	        NA	 0.0605078	  0.077526
mh16USC-16qA	  0.140754	        NA	 0.0796049	  0.103548
mh16USC-16qB	  0.102523	        NA	  0.071533	 0.0886504
mh16ZBF-001	  0.111452	        NA	 0.0687635	 0.0868526
mh16ZHA-003	   0.23867	        NA	 0.0925254	  0.120874
mh16ZHA-004	  0.188105	        NA	 0.0833943	  0.107517
mh16ZHA-006	   0.13238	        NA	 0.0706088	 0.0882304
mh16ZHA-009	  0.171201	        NA	 0.0767443	  0.100439
 mh17AT-35	 0.0523366	        NA	 0.0594234	 0.0701153
 mh17AT-36	  0.049281	        NA	 0.0582313	 0.0665617
mh17CP-001	 0.0680882	        NA	 0.0664676	 0.0859796
mh17CP-002	  0.161859	        NA	   0.07894	  0.103193
mh17CP-005	  0.103318	        NA	 0.0664799	 0.0858984
mh17CP-006	 0.0581907	        NA	 0.0617984	 0.0731083
mh17KK-014	  0.642262	        NA	   0.11723	  0.155864
mh17KK-052	 0.0848375	        NA	 0.0653755	 0.0829899
mh17KK-053	 0.0603161	        NA	 0.0657294	 0.0763405
mh17KK-054	 0.0523366	        NA	 0.0594234	 0.0701153
mh17KK-055	 0.0292955	        NA	 0.0533547	 0.0636673
