Name	PermID	Reference	Chrom	Offsets	Ae	In	Fst	Source
mh02USC-2qC	MHDBM-da8a7daf	GRCh38	chr2	168160894,168160925,168160949	3.3237	0.0929	0.0784	10.1016/j.fsigen.2019.102213
mh02LV-05	MHDBM-d5e37dff	GRCh38	chr2	173420586,173420600,173420616,173420625,173420627,173420633,173420649,173420650,173420667,173420671,173420687,173420717,173420724,173420732,173420752,173420753,173420773,173420782,173420786,173420788,173420836,173420910	20.7826	0.8416	0.0497	10.1016/j.fsigen.2018.05.001
mh02USC-2qD	MHDBM-735c6a59	GRCh38	chr2	205957895,205957903,205957915	3.2126	0.0914	-0.0547	10.1016/j.fsigen.2019.102213
mh02NH-06	MHDBM-ad7dc942	GRCh38	chr2	227052523,227052553,227052606	1.9423	0.0102	0.0669	10.1016/j.legalmed.2015.06.003
mh02KK-136	MHDBM-eb83984f	GRCh38	chr2	227227672,227227689,227227742	4.0513	0.1190	0.0338	ALFRED
mh02AT-07	MHDBM-eb83984f	GRCh38	chr2	227227672,227227689,227227742	4.0513	0.1190	0.0338	ISFG2019:P597
mh02USC-2qE	MHDBM-1e1cbc66	GRCh38	chr2	240602474,240602493,240602497	3.1061	0.1407	0.0076	10.1016/j.fsigen.2019.102213
mh03LV-01	MHDBM-75964bf2	GRCh38	chr3	4567469,4567490,4567512,4567525,4567535,4567539,4567561,4567571,4567590,4567592,4567611,4567616,4567623,4567628,4567645,4567663,4567722,4567742,4567746,4567748,4567751,4567789	33.9190	0.8894	0.0171	10.1016/j.fsigen.2018.05.001
mh03USC-3pA	MHDBM-19bcf279	GRCh38	chr3	5492729,5492767,5492772,5492797	3.7017	0.2150	0.0770	10.1016/j.fsigen.2019.102213
mh03LV-07	MHDBM-5f7e29b6	GRCh38	chr3	5783508,5783509,5783518,5783523,5783525,5783531,5783541,5783542,5783543,5783544,5783552,5783562,5783564,5783571,5783577,5783607,5783608,5783611,5783612,5783617,5783618,5783619,5783623,5783626,5783635,5783648,5783652,5783653,5783663,5783664,5783671,5783672,5783673,5783676,5783677,5783678,5783681,5783684,5783687,5783695,5783704,5783705	14.0275	1.0810	0.0570	10.1016/j.fsigen.2018.05.001
mh03LV-06	MHDBM-a3596593	GRCh38	chr3	11914400,11914412,11914417,11914424,11914432,11914446,11914463,11914470,11914472,11914483,11914484,11914497,11914511,11914526,11914537,11914597	20.3159	0.8625	0.0252	10.1016/j.fsigen.2018.05.001
mh03CP-005	MHDBM-18771df9	GRCh38	chr3	15643038,15643040,15643041,15643049	3.5438	0.1859	0.1304	ALFRED
mh03NH-07	MHDBM-77f3d5d4	GRCh38	chr3	20095118,20095152,20095190	2.4329	0.0475	0.1192	10.1016/j.legalmed.2015.06.003
mh03USC-3pB	MHDBM-0630ddcc	GRCh38	chr3	42883132,42883149,42883185,42883190,42883198	3.4686	0.2681	0.0380	10.1016/j.fsigen.2019.102213
mh03KK-007	MHDBM-095cdb0b	GRCh38	chr3	46310863,46310892	2.3682	0.1009	0.0181	ALFRED
mh03AT-08	MHDBM-095cdb0b	GRCh38	chr3	46310863,46310892	2.3682	0.1009	0.0181	ISFG2019:P597
mh03KK-008	MHDBM-5b0616ce	GRCh38	chr3	46515344,46515457	2.3381	0.1722	0.0190	ALFRED
mh03KK-216	MHDBM-36217cad	GRCh38	chr3	50159658,50159663	2.0261	0.2551	0.1118	ALFRED
mh03USC-3pC	MHDBM-0c7e471e	GRCh38	chr3	62048099,62048138,62048145,62048191	3.9119	0.1359	0.1173	10.1016/j.fsigen.2019.102213
mh03USC-3qA	MHDBM-bc69e92e	GRCh38	chr3	98221103,98221116,98221142,98221179	2.7909	0.1867	0.1315	10.1016/j.fsigen.2019.102213
mh03KK-009	MHDBM-c86f4bbb	GRCh38	chr3	114171941,114171967	2.0205	0.1104	0.0940	ALFRED
mh03KK-006	MHDBM-96a5a489	GRCh38	chr3	121645325,121645388	1.8394	0.0998	0.1333	ALFRED
mh03KK-150	MHDBM-31ac28b1	GRCh38	chr3	131927127,131927156,131927242,131927311	3.4334	0.0752	-0.0351	ALFRED
mh03AT-09	MHDBM-e34ee4b8	GRCh38	chr3	131927127,131927156	2.7603	0.0310	-0.0749	ISFG2019:P597
mh03USC-3qB	MHDBM-2f7b83eb	GRCh38	chr3	134173988,134174020,134174027	2.7707	0.2457	0.0549	10.1016/j.fsigen.2019.102213
mh03KK-020	MHDBM-864e58e1	GRCh38	chr3	140566272,140566491	2.1611	0.2349	0.2290	ALFRED
mh03USC-3qC	MHDBM-eacabfd9	GRCh38	chr3	196653025,196653034,196653044,196653084,196653121	6.0269	0.3280	0.0222	10.1016/j.fsigen.2019.102213
mh04KK-010	MHDBM-07c8d144	GRCh38	chr4	1985210,1985244	2.9226	0.1306	0.0406	ALFRED
mh04AT-10	MHDBM-07c8d144	GRCh38	chr4	1985210,1985244	2.9226	0.1306	0.0406	ISFG2019:P597
mh04KK-030	MHDBM-1e252b7e	GRCh38	chr4	3664642,3664675,3664743,3664756	4.2975	0.2406	0.0515	ALFRED
mh04CP-003	MHDBM-2be52d8b	GRCh38	chr4	4324722,4324735,4324749	2.9151	0.1668	0.0321	ALFRED
mh04CP-004	MHDBM-8408d717	GRCh38	chr4	7402842,7402854,7402870	2.6744	0.0477	0.0610	10.1016/j.fsigen.2019.02.018
mh04USC-4pA	MHDBM-d6dfabac	GRCh38	chr4	8120733,8120768,8120801,8120809	3.9780	0.1338	-0.0444	10.1016/j.fsigen.2019.102213
mh04CP-005	MHDBM-387049c4	GRCh38	chr4	8778307,8778308,8778336	3.0611	0.1464	0.1926	ALFRED
mh04CP-007	MHDBM-0964089f	GRCh38	chr4	10350881,10350903,10350925	3.0832	0.0554	0.0315	ALFRED
mh04CP-002	MHDBM-342c1521	GRCh38	chr4	24304952,24304955,24304971	3.5189	0.0627	-0.0331	ALFRED
mh04USC-4pB	MHDBM-274a640e	GRCh38	chr4	36638137,36638167,36638178	3.1885	0.0758	0.1530	10.1016/j.fsigen.2019.102213
mh04KK-011	MHDBM-82345414	GRCh38	chr4	37857268,37857332	2.4866	0.1227	0.1313	ALFRED
mh04KK-074	MHDBM-56f06bb4	GRCh38	chr4	55457429,55457525	2.2365	0.1886	0.0856	ALFRED
mh04USC-4qA	MHDBM-7026a721	GRCh38	chr4	58569908,58569910,58569935	3.2864	0.0856	-0.0166	10.1016/j.fsigen.2019.102213
mh04KK-013	MHDBM-33a849c2	GRCh38	chr4	67578383,67578461,67578473,67578538,67578583	4.1089	0.1700	0.0222	ALFRED
mh04AT-12	MHDBM-973672e0	GRCh38	chr4	67578461,67578473,67578538	3.2273	0.1047	0.0770	ISFG2019:P597
mh04USC-4qB	MHDBM-b1f8974d	GRCh38	chr4	99121084,99121090,99121110	2.5527	0.2970	0.1938	10.1016/j.fsigen.2019.102213
mh04KK-028	MHDBM-e011843a	GRCh38	chr4	99346973,99347032	1.7470	0.1013	0.1819	ALFRED
mh04KK-015	MHDBM-b9ca0d85	GRCh38	chr4	99383008,99383090	2.0484	0.1043	0.0853	ALFRED
mh04KK-016	MHDBM-1670e3b2	GRCh38	chr4	99392838,99392904	2.0464	0.1054	0.1176	ALFRED
mh04KK-017	MHDBM-40955830	GRCh38	chr4	99400285,99400415,99400437	2.5989	0.1407	0.0821	ALFRED
mh04KK-029	MHDBM-62100129	GRCh38	chr4	99420681,99420703	1.3943	0.0572	0.0284	ALFRED
mh04USC-4qC	MHDBM-fe779bcf	GRCh38	chr4	154873438,154873480,154873485,154873488	3.0205	0.1068	0.0916	10.1016/j.fsigen.2019.102213
mh04KK-019	MHDBM-6f919cdc	GRCh38	chr4	178707936,178708066	2.4275	0.1320	0.2124	ALFRED
mh04USC-4qD	MHDBM-0c892502	GRCh38	chr4	181874735,181874763,181874771,181874785	3.4150	0.2934	0.1440	10.1016/j.fsigen.2019.102213
mh04KK-021	MHDBM-7b4cdfe7	GRCh38	chr4	186616978,186617175	2.4869	0.0972	0.1644	ALFRED
mh05CP-006	MHDBM-8de30e74	GRCh38	chr5	2136455,2136487,2136491	3.1813	0.1420	0.0397	ALFRED
mh05KK-170	MHDBM-22ddbb7d	GRCh38	chr5	2447909,2447937,2448031,2448045	5.8163	0.3436	0.0029	ALFRED
mh05AT-13	MHDBM-bdc390c8	GRCh38	chr5	2448031,2448045	3.1225	0.1421	-0.0450	ISFG2019:P597
mh05KK-062	MHDBM-7016a603	GRCh38	chr5	6844903,6844921	2.2553	0.1275	-0.0093	ALFRED
mh05CP-004	MHDBM-2d7580bc	GRCh38	chr5	9565017,9565022,9565043	2.8550	0.1026	0.0251	ALFRED
mh05KK-022	MHDBM-2f4b3f5c	GRCh38	chr5	9619792,9619823	2.4671	0.0964	0.2094	ALFRED
mh05AT-14	MHDBM-2f4b3f5c	GRCh38	chr5	9619792,9619823	2.4671	0.0964	0.2094	ISFG2019:P597
mh05KK-078	MHDBM-a6ae4401	GRCh38	chr5	9629357,9629416	1.2628	0.0287	0.1765	ALFRED
mh05KK-079	MHDBM-054372b5	GRCh38	chr5	9629610,9629700	1.3265	0.1116	0.0800	ALFRED
mh05USC-5pA	MHDBM-c29d8dc9	GRCh38	chr5	11046016,11046056,11046060,11046080	4.1459	0.1754	0.1571	10.1016/j.fsigen.2019.102213
mh05CP-010	MHDBM-df4e5f79	GRCh38	chr5	17903164,17903183,17903208,17903213	4.4028	0.0803	-0.0091	ALFRED
mh05KK-120	MHDBM-8472ee43	GRCh38	chr5	33951445,33951587,33951720	2.0530	0.4857	0.4416	ALFRED
mh05KK-121	MHDBM-5f4e13a2	GRCh38	chr5	33951720,33951955,33951986,33952000	2.5124	0.3663	0.2791	ALFRED
mh05KK-122	MHDBM-b7d636c3	GRCh38	chr5	33958804,33958853	1.9948	0.2722	0.3262	ALFRED
mh05KK-123	MHDBM-22a6ab26	GRCh38	chr5	33962664,33962771	2.2470	0.1598	0.1852	ALFRED
mh05KK-124	MHDBM-ca56bac9	GRCh38	chr5	33969522,33969588	2.2659	0.2949	0.1321	ALFRED
mh05KK-023	MHDBM-e04e482d	GRCh38	chr5	38881357,38881435,38881500	2.3554	0.0879	0.0859	ALFRED
mh05KK-020	MHDBM-3175540a	GRCh38	chr5	38881357,38881435,38881500,38881525	3.4735	0.1050	0.0566	ALFRED
mh05USC-5pB	MHDBM-f49d637a	GRCh38	chr5	44554678,44554694	2.4472	0.0914	0.0630	10.1016/j.fsigen.2019.102213
mh05USC-5qA	MHDBM-cea7d3fb	GRCh38	chr5	56469015,56469033,56469103,56469108	3.6280	0.1560	0.1951	10.1016/j.fsigen.2019.102213
mh05NH-09	MHDBM-843c1099	GRCh38	chr5	96913618,96913646,96913673	1.9406	0.0103	0.0499	10.1016/j.legalmed.2015.06.003
mh05USC-5qB	MHDBM-5c721c58	GRCh38	chr5	107030513,107030526,107030541,107030554	3.2945	0.2787	0.0445	10.1016/j.fsigen.2019.102213
mh05USC-5qC	MHDBM-a3dce276	GRCh38	chr5	133580667,133580689,133580716	3.4170	0.0856	0.0789	10.1016/j.fsigen.2019.102213
mh05NH-10	MHDBM-a8ca41dd	GRCh38	chr5	136051040,136051063,136051110	1.8582	0.0594	-0.1419	10.1016/j.legalmed.2015.06.003
mh05USC-5qD	MHDBM-7caf9769	GRCh38	chr5	178840367,178840377,178840413	3.5613	0.0497	0.0480	10.1016/j.fsigen.2019.102213
mh06KK-025	MHDBM-81f9a3b6	GRCh38	chr6	2936965,2936989,2937112	2.5785	0.1692	0.0623	ALFRED
mh06CP-007	MHDBM-994edf59	GRCh38	chr6	4383078,4383097,4383120	3.4109	0.0935	0.0843	ALFRED
mh06CP-003	MHDBM-565aef21	GRCh38	chr6	5561444,5561462,5561471	2.9984	0.1310	0.0426	ALFRED
mh06PK-24844	MHDBM-aa39cbba	GRCh38	chr6	13861392,13861399,13861414,13861421,13861430,13861434,13861438,13861439,13861440,13861446				10.1016/j.fsigen.2018.05.008
mh06KK-080	MHDBM-9fe2cdc6	GRCh38	chr6	15542066,15542151	1.3255	0.0780	0.0249	ALFRED
mh06KK-026	MHDBM-27068743	GRCh38	chr6	16399415,16399448,16399489	2.0401	0.1393	0.1966	ALFRED
mh06KK-030	MHDBM-4f17d55d	GRCh38	chr6	16801535,16801551,16801634	2.8682	0.1524	0.1872	ALFRED
mh06USC-6pA	MHDBM-8c95b05a	GRCh38	chr6	23765102,23765123,23765143	3.5030	0.0444	0.0652	10.1016/j.fsigen.2019.102213
mh06PK-25713	MHDBM-7d00efdc	GRCh38	chr6	31196949,31196961,31196972,31196985,31196992,31197001	2.9544	0.0898	0.0681	10.1016/j.fsigen.2018.05.008
mh06LV-09	MHDBM-b8f722a9	GRCh38	chr6	33056354,33056359,33056388,33056400,33056411,33056446,33056451,33056457,33056480,33056495,33056521,33056531,33056539,33056546	10.4354	0.6829	0.0311	10.1016/j.fsigen.2018.05.001
mh06USC-6pB	MHDBM-7cd89ff8	GRCh38	chr6	53836249,53836252,53836260	3.1711	0.1165	0.0948	10.1016/j.fsigen.2019.102213
mh06KK-031	MHDBM-b13eb2ea	GRCh38	chr6	69092609,69092767	1.4450	0.2238	0.3676	ALFRED
mh06USC-6qA	MHDBM-10663d82	GRCh38	chr6	77233323,77233337,77233339	3.0771	0.1176	0.0569	10.1016/j.fsigen.2019.102213
mh06USC-6qB	MHDBM-a437b0d9	GRCh38	chr6	95924446,95924462,95924463,95924479	3.3417	0.1586	0.0655	10.1016/j.fsigen.2019.102213
mh06USC-6qC	MHDBM-4e008b9e	GRCh38	chr6	119809193,119809227,119809240	3.0566	0.1333	0.0138	10.1016/j.fsigen.2019.102213
mh06USC-6qD	MHDBM-8da2d8d7	GRCh38	chr6	163606630,163606705,163606714,163606725	3.2890	0.1155	0.1223	10.1016/j.fsigen.2019.102213
mh06KK-008	MHDBM-ed9ca745	GRCh38	chr6	169255933,169255983,169256024,169256152	4.8459	0.5364	0.0887	ALFRED
mh06NH-11	MHDBM-ca54e9af	GRCh38	chr6	169569958,169570017,169570049	1.9030	0.0907	0.1140	10.1016/j.legalmed.2015.06.003
mh06KK-101	MHDBM-8a2c760e	GRCh38	chr6	170280714,170280900	1.6705	0.2296	0.2590	ALFRED
mh07USC-7pA	MHDBM-7f396ac7	GRCh38	chr7	11573508,11573525,11573544,11573551	3.5689	0.0965	0.0942	10.1016/j.fsigen.2019.102213
mh07CP-004	MHDBM-9f52aec1	GRCh38	chr7	16789069,16789073,16789076,16789085,16789114	2.9913	0.1502	-0.0184	ALFRED
mh07USC-7pB	MHDBM-fb03f07f	GRCh38	chr7	25407969,25407971,25407994,25408020	4.3649	0.1746	0.0331	10.1016/j.fsigen.2019.102213
mh07NH-12	MHDBM-c461b994	GRCh38	chr7	39429982,39430036,39430062	1.7290	0.0235	0.1498	10.1016/j.legalmed.2015.06.003
mh07PK-38311	MHDBM-3ae6dc1b	GRCh38	chr7	52677450,52677456,52677462,52677508	3.2638	0.1000	0.1927	10.1016/j.fsigen.2018.05.008
mh07KK-030	MHDBM-30e2d2b6	GRCh38	chr7	53594403,53594437,53594500	2.4866	0.0511	-0.1236	ALFRED
mh07USC-7pC	MHDBM-ae69a0fa	GRCh38	chr7	57150395,57150406,57150414,57150419,57150445	3.2672	0.2392	0.0973	10.1016/j.fsigen.2019.102213
mh07USC-7qA	MHDBM-09d9c9fc	GRCh38	chr7	68587893,68587936,68587946	3.3276	0.0657	0.0815	10.1016/j.fsigen.2019.102213
mh07KK-031	MHDBM-b88f697f	GRCh38	chr7	97104659,97104744	2.1864	0.0633	-0.0474	ALFRED
mh07KK-081	MHDBM-3182e2a9	GRCh38	chr7	99652769,99652851	1.1582	0.0656	-0.0288	ALFRED
mh07USC-7qB	MHDBM-0af2d2dd	GRCh38	chr7	115032625,115032629,115032665	2.9848	0.1291	0.1658	10.1016/j.fsigen.2019.102213
mh07KK-082	MHDBM-1a785986	GRCh38	chr7	141973450,141973544	1.8685	0.0445	0.0783	ALFRED
mh07USC-7qC	MHDBM-6531b2fe	GRCh38	chr7	151821663,151821692,151821719,151821720,151821731	3.9362	0.2237	0.0924	10.1016/j.fsigen.2019.102213
mh08PK-46625	MHDBM-840756f3	GRCh38	chr8	1194352,1194356,1194364,1194371	2.3775	0.1132	0.1395	10.1016/j.fsigen.2018.05.008
mh08USC-8pA	MHDBM-3fc30baf	GRCh38	chr8	3448907,3448913,3448925,3448935	3.8098	0.2051	0.0672	10.1016/j.fsigen.2019.102213
mh08KK-039	MHDBM-5078e94d	GRCh38	chr8	3659269,3659313,3659351,3659400,3659461,3659481	4.1596	0.3955	0.1203	ALFRED
mh08KK-032	MHDBM-90c91a19	GRCh38	chr8	11738319,11738459	2.3239	0.1401	0.1843	ALFRED
mh08USC-8pB	MHDBM-dfcf526b	GRCh38	chr8	40806674,40806697,40806707,40806709,40806723	3.4015	0.2065	0.1604	10.1016/j.fsigen.2019.102213
mh08USC-8qA	MHDBM-d80aad76	GRCh38	chr8	62032395,62032425,62032463	2.9167	0.1924	0.0174	10.1016/j.fsigen.2019.102213
mh08USC-8qB	MHDBM-136b8e21	GRCh38	chr8	86148149,86148157,86148187	2.9883	0.1334	0.0958	10.1016/j.fsigen.2019.102213
mh08CP-009	MHDBM-f1e79b99	GRCh38	chr8	112168152,112168167,112168168	2.9277	0.2064	0.1651	10.1016/j.fsigen.2019.02.018
mh08USC-8qC	MHDBM-95c68f0b	GRCh38	chr8	137028438,137028480,137028499,137028520	3.2218	0.2156	0.0228	10.1016/j.fsigen.2019.102213
mh09KK-161	MHDBM-43890ace	GRCh38	chr9	344228,344331	1.8583	0.4381	0.2824	ALFRED
mh09KK-033	MHDBM-8458b727	GRCh38	chr9	680713,680762,680790	2.9343	0.1008	0.0504	ALFRED
mh09AT-15	MHDBM-b46abf2e	GRCh38	chr9	680713,680762,680767,680790	2.9471	0.1160	0.0602	ISFG2019:P597
mh09USC-9pA	MHDBM-3eb8b948	GRCh38	chr9	2288646,2288676,2288699,2288709,2288717	4.4514	0.2989	0.0531	10.1016/j.fsigen.2019.102213
mh09NH-13	MHDBM-b0cc1f39	GRCh38	chr9	6534435,6534465,6534507	3.2474	0.0990	0.0911	10.1016/j.legalmed.2015.06.003
mh09KK-034	MHDBM-c3fa885e	GRCh38	chr9	12672274,12672319	2.2414	0.1677	0.1357	ALFRED
mh09KK-020	MHDBM-13b503c9	GRCh38	chr9	16795160,16795164,16795242,16795287	2.6851	0.3285	0.2223	ALFRED
mh09USC-9pB	MHDBM-7da7af40	GRCh38	chr9	31196676,31196714,31196731,31196744	3.0919	0.1616	0.0574	10.1016/j.fsigen.2019.102213
mh09USC-9qA	MHDBM-90eb4532	GRCh38	chr9	70747687,70747714,70747746	3.1110	0.1236	0.0622	10.1016/j.fsigen.2019.102213
mh09KK-152	MHDBM-36a7f7d1	GRCh38	chr9	83193733,83193792,83193814,83193874	3.1066	0.1630	0.1238	ALFRED
mh09AT-16	MHDBM-8d216e58	GRCh38	chr9	83193792,83193814,83193874	3.0968	0.1586	0.1238	ISFG2019:P597
mh09KK-153	MHDBM-1651deb9	GRCh38	chr9	101207457,101207492,101207569	3.2675	0.2798	0.1476	ALFRED
mh09USC-9qB	MHDBM-1de2369f	GRCh38	chr9	102141544,102141545,102141554,102141580	3.5948	0.2080	0.0065	10.1016/j.fsigen.2019.102213
mh09LV-02	MHDBM-46974475	GRCh38	chr9	126716993,126717000,126717001,126717015,126717019,126717041,126717051,126717057,126717061,126717062,126717064,126717065,126717088,126717089,126717110,126717115,126717128,126717166,126717175,126717178,126717180,126717188,126717193,126717195,126717197,126717200,126717201,126717203,126717206,126717207,126717209,126717213,126717224,126717236,126717245,126717247,126717254,126717255,126717263,126717268,126717269,126717299,126717300,126717309,126717335	28.0040	0.9683	-0.0027	10.1016/j.fsigen.2018.05.001
mh09KK-157	MHDBM-d57c98ab	GRCh38	chr9	132987091,132987107,132987175,132987204,132987244	3.5312	0.2163	0.0805	ALFRED
mh09AT-17	MHDBM-b34d6dc3	GRCh38	chr9	132987175,132987204,132987244	2.6190	0.1250	0.0757	ISFG2019:P597
