Marker	Chrom	Location	Extent	Ae
mh07KK-009.v3	chr7	chr7:18821472-18821642	171	9.324
mh07WL-054	chr7	chr7:30137419-30137662	244	5.315
mh07SCUZJ-0197487	chr7	chr7:45856602-45856843	242	5.547
mh07WL-020.v1	chr7	chr7:68993892-68994090	199	4.244
mh07SCUZJ-0380111.v2	chr7	chr7:101289194-101289303	110	4.725
mh07WL-022.v2	chr7	chr7:115873343-115873580	238	8.556
mh07SCUZJ-0502291.v1	chr7	chr7:149320697-149320921	225	7.47
mh08WL-049	chr8	chr8:4068282-4068431	150	5.363
mh08SHY-002	chr8	chr8:14540448-14540588	141	4.048
mh08WL-040	chr8	chr8:25607140-25607379	240	5.003
mh08USC-8pB	chr8	chr8:40806675-40806724	50	3.386
mh08SHY-004	chr8	chr8:58277319-58277508	190	4.069
mh08WL-068	chr8	chr8:75504543-75504626	84	3.388
mh08WL-031	chr8	chr8:95763191-95763280	90	4.412
mh08SCUZJ-0523897	chr8	chr8:141538188-141538267	80	3.851
mh09WL-034	chr9	chr9:1793334-1793515	182	5.95
mh09FHL-002.v2	chr9	chr9:18804345-18804420	76	3.66
mh09SHY-001.v1	chr9	chr9:28517001-28517173	173	6.227
mh09WL-029	chr9	chr9:79360089-79360296	208	3.848
mh09WL-020	chr9	chr9:93909842-93909941	100	6.871
mh09WL-023.v2	chr9	chr9:107669566-107669629	64	4.554
mh09USC-9qC	chr9	chr9:133903715-133903792	78	3.829
mh10WL-031	chr10	chr10:3825864-3826101	238	9.692
mh10SCUZJ-0082020	chr10	chr10:14436177-14436353	177	5.024
mh10WL-052	chr10	chr10:29795810-29795979	170	4.281
mh10WL-022.v1	chr10	chr10:47258991-47259134	144	3.569
mh10WL-015	chr10	chr10:63087529-63087615	87	3.309
mh10SCUZJ-0313839	chr10	chr10:79558696-79558907	212	4.637
mh10SHY-002.v1	chr10	chr10:98321291-98321429	139	5.014
mh10WL-028	chr10	chr10:116267682-116267761	80	3.432
mh11WL-012	chr11	chr11:20387380-20387509	130	3.523
mh11PK-63643.v1	chr11	chr11:34415815-34415851	37	4.016
mh11WL-005.v1	chr11	chr11:70104890-70105079	190	4.403
mh11WL-011.v1	chr11	chr11:86396878-86397070	193	3.612
mh11WL-026	chr11	chr11:102630434-102630511	78	4.105
mh11WL-023	chr11	chr11:125720950-125720996	47	4.644
mh12KK-201.v2	chr12	chr12:27647394-27647570	177	9.58
mh12USC-12qA	chr12	chr12:40392917-40392950	34	3.528
mh12WL-022.v1	chr12	chr12:58453950-58454110	161	3.52
mh12USC-12qB	chr12	chr12:68114496-68114573	78	4.04
mh12WL-005.v2	chr12	chr12:78920920-78921103	184	7.294
mh12WL-033	chr12	chr12:101045717-101045773	57	3.66
mh12SCUZJ-0392651	chr12	chr12:127034321-127034521	201	6.723
mh13KK-213.v1	chr13	chr13:23191402-23191542	141	4.024
mh13USC-13qA.v2	chr13	chr13:32979370-32979511	142	8.644
mh13KK-218.v5	chr13	chr13:53486585-53486837	253	8.862
mh13KK-225.v3	chr13	chr13:66138490-66138696	207	3.714
mh13KK-221.v1	chr13	chr13:101106737-101106989	253	8.327
mh13USC-13qD	chr13	chr13:111435606-111435673	68	4.327
mh14WL-036.v3	chr14	chr14:25608202-25608445	244	9.38
mh14WL-041	chr14	chr14:38982394-38982566	173	3.567
mh14SHY-002.v1	chr14	chr14:51914396-51914593	198	5.309
mh14WL-034	chr14	chr14:67571980-67572062	83	3.741
mh14WL-028.v2	chr14	chr14:92465674-92465758	85	3.492
mh15WL-004.v2	chr15	chr15:27683945-27684168	224	5.578
mh15SCUZJ-0082880	chr15	chr15:46326870-46327061	192	10.059
mh15WL-034	chr15	chr15:58353674-58353854	181	4.363
mh15WL-001.v1	chr15	chr15:71629696-71629869	174	6.284
mh15SCUZJ-0193223	chr15	chr15:84543301-84543444	144	4.025
mh16WL-030	chr16	chr16:6735405-6735658	254	5.226
mh16WL-009.v2	chr16	chr16:24309429-24309645	217	4.291
mh16WL-012.v1	chr16	chr16:56542533-56542729	197	6.624
mh16SHY-002	chr16	chr16:73397000-73397183	184	3.918
mh17WL-019	chr17	chr17:8057797-8057886	90	3.662
mh17WL-003	chr17	chr17:36134072-36134156	85	5.129
mh17KK-272.v2	chr17	chr17:54864974-54865233	260	3.845
mh17WL-037	chr17	chr17:65553807-65553908	102	3.531
mh17FHL-005.v3	chr17	chr17:78268165-78268413	249	10.032
mh18USC-18pA	chr18	chr18:5280018-5280094	77	3.424
mh18WL-013	chr18	chr18:27721960-27722095	136	4.023
mh18WL-018	chr18	chr18:49877219-49877269	51	3.594
mh18WL-032	chr18	chr18:74395973-74396031	59	4.026
mh19SHY-001.v4	chr19	chr19:7699031-7699097	67	3.731
mh19USC-19qB.v2	chr19	chr19:53714365-53714470	106	5.113
mh20WL-022.v2	chr20	chr20:1936563-1936814	252	6.37
mh20WL-023.v3	chr20	chr20:16664687-16664779	93	3.933
mh20WL-026.v2	chr20	chr20:39864161-39864257	97	3.752
mh20USC-20qB	chr20	chr20:62516294-62516339	46	3.288
mh21WL-020.v1	chr21	chr21:34035306-34035404	99	4.101
mh22WL-006.v1	chr22	chr22:26396487-26396677	191	5.469
mh22USC-22qB.v3	chr22	chr22:48665164-48665414	251	5.985
