Marker	Extent	Ae	FailMode	MaxAltFreq	LowComplexRepeats	Repeats	STRs
mh01SCUZJ-0260152	339	6.57	[length][repeat]			SINE>Alu>AluSz[chr1:85574765-85574880];SINE>Alu>AluJb[chr1:85574958-85575233]	
mh01SCUZJ-0270838	314	2.606	[indel][length][repeat]	0.1459		LINE>L1>L1PA3[chr1:89388575-89390163]	
mh01SCUZJ-0275072	196	1.255	[indel]	0.385			
mh01SCUZJ-0285696	306	5.771	[length]				
mh01SCUZJ-0291678	306	5.203	[length]				
mh01SCUZJ-0293896	344	4.325	[indel][length]	0.1663			
mh01SCUZJ-0300654	303	1.024	[indel][length]	0.2328			
mh01SCUZJ-0312202	174	3.614	[repeat]			SINE>Alu>AluY[chr1:104521948-104522254]	
mh01SCUZJ-0357485	347	1.0	[indel][length]	0.04528			
mh01SCUZJ-0379058	291	6.129	[length][repeat]			SINE>Alu>AluSp[chr1:157096638-157096948]	
mh01SCUZJ-0396461	197	1.771	[repeat]			LTR>ERV1>MER57F[chr1:161595661-161596126]	
mh01SCUZJ-0398141	211	5.042	[repeat]			SINE>Alu>AluJr[chr1:162005609-162005928]	
mh01SCUZJ-0404628	345	6.531	[length]				
mh01SCUZJ-0458139	285	5.665	[length][repeat]			LTR>ERV1>HERVH-int[chr1:183613648-183617077]	
mh01SCUZJ-0481939	276	3.612	[indel][length]	0.3636			
mh01SCUZJ-0483367	290	3.59	[indel][length][repeat]	0.005058		LINE>L1>L1MC4a[chr1:191066869-191067060]	
mh01SCUZJ-0508420	337	1.016	[indel][length]	0.1157			
mh01SCUZJ-0568347	328	5.692	[length][repeat][str]			LINE>L2>L2a[chr1:220800518-220801515]	D1S1656
mh01SCUZJ-0573296	350	1.119	[indel][length][str]	0.2148			D1S1656
mh01SCUZJ-0577309	345	4.61	[indel][length][str]	0.3164			D1S1656
mh01SCUZJ-0582920	350	3.128	[length][repeat][str]			LINE>L1>L1PA4[chr1:225168188-225174275]	D1S1656
mh01SCUZJ-0583641	346	1.037	[indel][length][str]	0.07679			D1S1656
mh01SCUZJ-0589288	260	4.916	[indel][str]	0.09496			D1S1656
mh01SCUZJ-0598913	139	3.463	[indel][str]	0.01951			D1S1656
mh01SCUZJ-0604411	337	1.837	[indel][length][repeat][str]	0.05843		SINE>Alu>AluJo[chr1:231390853-231391092];SINE>Alu>AluJo[chr1:231391134-231391249]	D1S1656
mh01SCUZJ-0617755	345	3.191	[indel][length][repeat][str]	0.1661		LINE>L2>L2a[chr1:234367205-234367372]	D1S1656
mh01SCUZJ-0633517	304	10.737	[indel][length][repeat][str]	0.03121		SINE>Alu>AluSc[chr1:237848118-237848450];LTR>ERVL>MER21B[chr1:237848450-237848964]	D1S1656
mh01SCUZJ-0638849	94	4.259	[repeat][str]			SINE>Alu>AluY[chr1:238759140-238759457]	D1S1656
mh01SCUZJ-0662222	329	10.928	[length][repeat]			SINE>Alu>AluY[chr1:244348440-244348742]	
mh01SCUZJ-0667867	181	7.887	[indel][repeat]	0.2121		SINE>Alu>AluY[chr1:245793028-245793326]	
mh01SCUZJ-0671840	331	1.0	[indel][length]	0.01497			
mh01SCUZJ-0675568	248	33.701	[repeat]			SINE>Alu>AluY[chr1:246868839-246869142]	
mh01SCUZJ-0682800	322	1.0	[length]				
mh01SHY-001	193	4.609	[repeat]			LINE>L2>L2a[chr1:38265209-38266499]	
mh01USC-1qC.v2	284	3.962	[length]				
mh01USC-1qD	17	2.97	[str]				D1S1656
mh01WL-005.v2	292	7.845	[length]				
mh01WL-005.v3	337	12.891	[length]				
mh01WL-006.v1	195	9.272	[str]				D1S1656
mh01WL-006.v2	319	11.189	[length][str]				D1S1656
mh01WL-006.v3	213	10.016	[str]				D1S1656
mh01WL-008.v4	344	4.839	[length]				
mh01WL-011	192	3.387	[str]				D1S1656
mh01WL-024.v1	196	1.0	[indel]	0.01633			
mh01WL-024.v2	256	1.0	[indel]	0.01633			
mh01WL-024.v3	97	1.0	[indel]	0.007091			
mh01WL-027.v1	58	1.388	[indel]	0.08714			
mh01WL-027.v2	290	1.388	[indel][length]	0.08714			
mh01WL-033.v2	267	7.989	[length]				
mh01WL-040.v1	183	2.128	[indel]	0.3697			
mh01WL-040.v2	252	2.911	[indel]	0.3697			
mh01WL-051	92	1.036	[str]				D1S1656
mh01WL-053.v1	58	3.308	[str]				D1S1656
mh01WL-053.v2	58	3.308	[str]				D1S1656
mh01WL-070	274	6.801	[length]				
mh01WL-071	300	7.362	[length]				
mh01WL-073.v1	299	5.492	[length]				
mh01WL-073.v2	338	8.477	[length]				
mh01WL-074	226	4.099	[str]				D1S1656
mh01WL-076	271	4.681	[length]				
mh01WL-086	277	3.828	[length]				
mh01WL-088.v2	285	1.047	[length]				
mh01WL-090	195	3.23	[indel]	0.2591			
mh01WL-094	190	1.564	[str]				D1S1656
mh01WL-095	120	1.107	[indel]	0.008876			
mh01WL-097.v2	332	3.792	[length]				
mh01WL-103	155	4.471	[str]				D1S1656
mh01WL-106.v2	349	3.195	[length]				
mh01WL-112	181	3.336	[str]				D1S1656
mh01WL-118	162	3.904	[str]				D1S1656
mh01ZBF-001	68	2.874	[repeat]			SINE>Alu>AluY[chr1:15418299-15418604]	
mh01ZBF-002	83	1.379	[indel]	0.1864			
mh01ZHA-009	380	2.129	[indel][length]	0.1743			
mh02CP-004	29	3.087	[str]				TPOX
mh02KK-014.v1	239	12.074	[str]				D2S1338
mh02KK-014.v2	239	12.127	[str]				D2S1338
mh02KK-014.v3	155	7.421	[str]				D2S1338
mh02KK-014.v4	298	15.826	[length][str]				D2S1338
mh02KK-014.v5	192	8.13	[str]				D2S1338
mh02KK-022.v1	249	5.581	[str]				TPOX
mh02KK-022.v2	249	5.584	[str]				TPOX
mh02KK-022.v3	259	5.581	[indel][str]	0.4066			TPOX
mh02KK-029.v1	229	6.168	[indel][str]	0.2275			D2S441
mh02KK-029.v2	236	6.178	[indel][str]	0.2275			D2S441
mh02KK-029.v3	134	3.305	[indel][str]	0.2275			D2S441
mh02KK-029.v4	180	5.255	[str]				D2S441
mh02KK-029.v5	227	5.292	[str]				D2S441
mh02KK-031.v1	181	4.331	[repeat]			SINE>Alu>AluY[chr2:122637955-122638259]	
mh02KK-031.v2	252	4.447	[repeat]			SINE>Alu>AluY[chr2:122637955-122638259]	
mh02KK-136.v1	71	4.062	[str]				D2S1338
mh02KK-136.v2	126	5.156	[str]				D2S1338
mh02KK-136.v3	198	5.156	[str]				D2S1338
mh02KK-202	140	2.048	[repeat]			LINE>L2>L2a[chr2:107031654-107031893]	
mh02LS-2pA	155	1.633	[str]				TPOX
mh02LS-2pE	135	2.78	[str]				D2S441
mh02LS-2qF	158	2.534	[str]				D2S1338
mh02LS-2qG	200	2.413	[str]				D2S1338
mh02LV-05.v1	325	21.841	[length][repeat]			LTR>ERVL-MaLR>THE1B[chr2:173420552-173420913]	
mh02LV-05.v2	158	12.036	[repeat]			LTR>ERVL-MaLR>THE1B[chr2:173420552-173420913]	
mh02LV-08.v1	190	14.695	[repeat]			SINE>Alu>AluSc5[chr2:28567460-28567752]	
mh02LV-08.v2	322	13.401	[length][repeat]			SINE>Alu>AluSc5[chr2:28567460-28567752]	
mh02LW-6	81	1.615	[indel]	0.06925			
mh02LW-9	56	3.379	[repeat]			SINE>Alu>AluSx1[chr2:190278211-190278503]	
mh02NH-06	84	1.946	[str]				D2S1338
mh02SCUZJ-0004047.v1	348	8.043	[length][str]				TPOX
mh02SCUZJ-0004047.v2	252	4.421	[str]				TPOX
mh02SCUZJ-0013841	332	4.101	[length][str]				TPOX
mh02SCUZJ-0019685	204	1.0	[str]				TPOX
mh02SCUZJ-0025110	296	7.352	[length][str]				TPOX
mh02SCUZJ-0030534	188	3.003	[indel][str]	0.1258			TPOX
mh02SCUZJ-0032084	300	5.72	[indel][length][str]	0.0134			TPOX
mh02SCUZJ-0038503	249	4.318	[indel][str]	0.08493			TPOX
mh02SCUZJ-0043006	208	1.0	[indel][str]	0.03409			TPOX
mh02SCUZJ-0044444	346	2.629	[indel][length][repeat][str]	0.1475		LINE>L1>L1ME3Cz[chr2:10291708-10291725]	TPOX
mh02SCUZJ-0051460.v2	348	1.075	[indel][length]	0.00597			
mh02SCUZJ-0067070	243	4.395	[indel]	0.4852			
mh02SCUZJ-0082461	320	13.977	[length][repeat]			LTR>ERVK>LTR5A[chr2:20501251-20502198]	
mh02SCUZJ-0105665	275	4.23	[length][repeat]			LINE>L1>L1ME3D[chr2:31231168-31231550]	
mh02SCUZJ-0127632	337	5.458	[length]				
mh02SCUZJ-0157891	195	4.578	[repeat]			LINE>L1>L1PA2[chr2:45059559-45065587]	
mh02SCUZJ-0160617	310	4.196	[length][repeat]			LINE>L1>L1MB3[chr2:45806419-45806714]	
mh02SCUZJ-0190002.v1	184	5.051	[repeat]			SINE>Alu>AluY[chr2:54388912-54389218]	
mh02SCUZJ-0190002.v2	317	8.423	[length][repeat]			SINE>Alu>AluY[chr2:54388912-54389218]	
mh02SCUZJ-0202886	303	4.935	[indel][length][lowcomplex]	0.2726	GA-rich		
mh02SCUZJ-0208783	214	3.318	[str]				D2S441
mh02SCUZJ-0224273.v1	260	1.051	[indel][str]	0.02991			D2S441
mh02SCUZJ-0224273.v2	212	1.029	[indel][str]	0.007866			D2S441
mh02SCUZJ-0232405	231	3.211	[indel][repeat][str]	0.05256		SINE>Alu>AluSx[chr2:70337157-70337447];SINE>Alu>AluJb[chr2:70337477-70337598]	D2S441
mh02SCUZJ-0244318.v1	215	3.451	[repeat][str]			SINE>Alu>AluSx3[chr2:75550841-75551121]	D2S441
mh02SCUZJ-0244318.v2	319	4.335	[length][repeat][str]			SINE>Alu>AluSx3[chr2:75550841-75551121]	D2S441
mh02SCUZJ-0250065	342	5.034	[indel][length][repeat][str]	0.02685		LINE>L1>L1PA2[chr2:76795804-76801677]	D2S441
mh02SCUZJ-0253084	148	2.44	[repeat][str]			LTR>ERV1>HERVH-int[chr2:77088676-77091793]	D2S441
mh02SCUZJ-0268507	298	5.285	[length][repeat]			SINE>Alu>AluY[chr2:79948687-79948969]	
mh02SCUZJ-0291613	262	1.581	[length]				
mh02SCUZJ-0308581.v1	286	10.294	[length][repeat]			SINE>Alu>AluY[chr2:101649167-101649496]	
mh02SCUZJ-0308581.v2	202	5.089	[repeat]			SINE>Alu>AluY[chr2:101649167-101649496]	
mh02SCUZJ-0317355	344	5.0	[length]				
mh02SCUZJ-0378972	178	3.117	[indel][repeat]	0.2495		LINE>L1>L1MA9[chr2:129012506-129014134]	
mh02SCUZJ-0390961.v1	151	6.574	[repeat]			SINE>Alu>AluY[chr2:132895049-132895368]	
mh02SCUZJ-0390961.v2	58	3.5	[repeat]			SINE>Alu>AluY[chr2:132895049-132895368]	
mh02SCUZJ-0400681	350	2.897	[indel][length]	0.2675			
mh02SCUZJ-0409633	326	3.701	[length]				
mh02SCUZJ-0413888	284	2.64	[length]				
mh02SCUZJ-0419421	299	5.399	[indel][length][lowcomplex][repeat]	0.0148	GA-rich	SINE>Alu>AluY[chr2:141413948-141414259]	
mh02SCUZJ-0429492	212	3.8	[indel]	0.02733			
mh02SCUZJ-0451996.v1	348	1.106	[indel][length]	0.06567			
mh02SCUZJ-0451996.v2	77	1.0	[indel]	0.01189			
mh02SCUZJ-0461323	321	3.428	[length][repeat]			SINE>Alu>AluSc[chr2:159233717-159234005];SINE>Alu>AluY[chr2:159234044-159234322]	
mh02SCUZJ-0477460	124	3.968	[indel]	0.232			
mh02SCUZJ-0485101	282	5.35	[indel][length][repeat]	0.01336		SINE>Alu>AluJr[chr2:167654490-167654795]	
mh02SCUZJ-0497317	304	4.794	[length][repeat]			LTR>ERV1>HERVH-int[chr2:170979121-170982983]	
mh02SCUZJ-0510209	342	4.886	[indel][length][repeat]	0.2029		SINE>Alu>AluSx1[chr2:175550349-175550661]	
mh02SCUZJ-0606389	181	1.0	[indel][str]	0.1961			D2S1338
mh02SCUZJ-0611908	333	4.988	[length][repeat][str]			LTR>ERVL>LTR32[chr2:222487569-222488105]	D2S1338
mh02SCUZJ-0626428	302	3.854	[indel][length][str]	0.01191			D2S1338
mh02SCUZJ-0634240	228	3.12	[repeat]			SINE>Alu>AluSx1[chr2:228505473-228505804];LINE>L2>L2b[chr2:228505804-228506267]	
mh02SCUZJ-0637033	127	3.91	[indel][repeat]	0.2761		SINE>Alu>AluSx1[chr2:229515635-229515941]	
mh02SCUZJ-0642566	349	4.468	[indel][length][repeat]	0.06502		SINE>Alu>AluJr[chr2:230982606-230982890];SINE>Alu>AluSc[chr2:230982916-230983221]	
mh02SCUZJ-0643696	281	9.814	[indel][length][repeat]	0.1		SINE>Alu>AluY[chr2:231433217-231433527]	
mh02SCUZJ-0646821	331	14.248	[length]				
mh02SCUZJ-0649254	305	1.0	[indel][length]	0.2003			
mh02SCUZJ-0653761	253	3.798	[repeat]			SINE>Alu>AluSq2[chr2:233965845-233966149]	
mh02SCUZJ-0677078	348	5.213	[length]				
mh02SCUZJ-0695533	336	3.186	[length]				
mh02SHY-001.v1	178	5.132	[indel]	0.04644			
mh02SHY-001.v2	172	4.731	[indel]	0.04644			
mh02SHY-002.v1	198	3.902	[repeat]			LTR>ERV1>LTR45C[chr2:132757708-132758226]	
mh02SHY-004.v2	281	5.833	[length]				
mh02USC-2pA	79	2.759	[str]				TPOX
mh02WL-001.v1	128	1.0	[str]				TPOX
mh02WL-001.v2	271	1.0	[length][str]				TPOX
mh02WL-002.v3	350	8.081	[length]				
mh02WL-003.v2	274	11.428	[length]				
mh02WL-007	15	2.422	[indel]	0.2117			
mh02WL-012	160	3.717	[indel]	0.005029			
mh02WL-025.v1	166	1.0	[indel]	0.09845			
mh02WL-025.v2	282	1.0	[indel][length]	0.09845			
mh02WL-025.v3	90	1.0	[indel]	0.01028			
mh02WL-028.v1	136	5.786	[str]				D2S1338
mh02WL-028.v2	55	3.821	[str]				D2S1338
mh02WL-031.v2	294	6.439	[length]				
mh02WL-031.v3	321	7.846	[length]				
mh02WL-038	164	3.034	[str]				D2S1338
mh02WL-040.v2	270	5.029	[length]				
mh02WL-047.v1	131	2.111	[indel]	0.2221			
mh02WL-047.v2	98	1.989	[indel]	0.2221			
mh02WL-052	81	1.177	[str]				TPOX
mh02WL-053	31	1.0	[indel]	0.01638			
mh02WL-054	94	3.809	[str]				D2S441
mh02WL-059	59	2.548	[str]				D2S441
mh02WL-069	262	5.516	[length][str]				D2S441
mh02WL-070	291	4.354	[indel][length]	0.0492			
mh02WL-076	294	4.059	[length]				
mh02WL-077	293	4.366	[length]				
mh02WL-080	160	1.001	[str]				TPOX
mh02WL-081	193	1.0	[str]				TPOX
mh02WL-082.v1	175	1.138	[indel]	0.1087			
mh02WL-082.v2	195	3.93	[indel]	0.4284			
mh02WL-082.v3	349	5.985	[indel][length]	0.4284			
mh02WL-085	199	4.296	[str]				D2S1338
mh02WL-086	82	2.761	[indel]	0.4292			
mh02WL-089	179	3.706	[str]				TPOX
mh02WL-093	176	4.002	[indel][str]	0.01719			D2S441
mh02WL-095	162	1.0	[indel][str]	0.2019			TPOX
mh02WL-099	126	3.33	[str]				D2S441
mh02WL-110	188	3.248	[str]				TPOX
mh02WL-112	98	3.511	[str]				D2S1338
mh02ZBF-001	89	1.531	[indel][repeat]	0.3999		SINE>Alu>AluSx3[chr2:99401775-99402029]	
mh02ZHA-003	271	3.417	[length][repeat]			SINE>Alu>AluSq2[chr2:79852907-79853162]	
mh02ZHA-008	305	2.844	[length][str]				D2S1338
mh02ZHA-013.v1	101	4.592	[repeat]			SINE>Alu>AluY[chr2:137936235-137936540]	
mh02ZHA-013.v2	187	9.158	[repeat]			SINE>Alu>AluY[chr2:137936235-137936540]	
mh02ZHA-013.v3	78	4.754	[repeat]			SINE>Alu>AluY[chr2:137936235-137936540]	
mh03CP-005	12	2.082	[indel][repeat]	0.1339		SINE>Alu>AluSp[chr3:15642881-15643054]	
mh03FHL-003.v1	167	5.697	[str]				D3S1358
mh03FHL-003.v2	86	5.326	[str]				D3S1358
mh03KK-007	30	2.368	[str]				D3S1358
mh03KK-008	114	2.332	[str]				D3S1358
mh03KK-017.v1	179	5.744	[indel][str]	0.2629			D3S1358
mh03KK-017.v2	179	4.772	[str]				D3S1358
mh03KK-017.v3	187	4.842	[str]				D3S1358
mh03KK-017.v4	174	3.249	[str]				D3S1358
mh03KK-017.v5	297	6.663	[length][str]				D3S1358
mh03KK-047.v1	238	4.072	[str]				D3S1358
mh03KK-047.v2	243	4.072	[str]				D3S1358
mh03KK-216	6	2.024	[str]				D3S1358
mh03LV-01.v1	321	31.41	[indel][length][repeat]	0.1942		SINE>Alu>AluJb[chr3:4567603-4567899]	
mh03LV-01.v2	195	22.697	[indel][repeat]	0.1942		SINE>Alu>AluJb[chr3:4567603-4567899]	
mh03LV-01.v3	139	8.796	[indel][repeat]	0.1942		SINE>Alu>AluJb[chr3:4567603-4567899]	
mh03LV-06.v1	198	8.571	[indel]	0.4605			
mh03LV-06.v2	194	4.004	[indel]	0.4329			
mh03LV-06.v3	54	3.359	[indel]	0.4329			
mh03LV-06.v4	350	15.372	[length]				
mh03LV-06.v5	309	14.015	[indel][length]	0.4605			
mh03LV-07.v1	198	13.475	[repeat]			SINE>Alu>AluY[chr3:5783461-5783758]	
mh03LV-07.v2	256	13.881	[repeat]			SINE>Alu>AluY[chr3:5783461-5783758]	
mh03LW-11	61	5.09	[indel]	0.04391			
mh03SCUZJ-0000972.v1	300	7.369	[indel][length][repeat]	0.3822		SINE>Alu>AluY[chr3:242314-242595]	
mh03SCUZJ-0000972.v2	220	19.99	[indel][repeat]	0.3822		SINE>Alu>AluY[chr3:242314-242595]	
mh03SCUZJ-0048040	122	4.603	[repeat]			LINE>L1>L1MC3[chr3:7219506-7220805]	
mh03SCUZJ-0048662	339	10.503	[length][repeat]			LINE>L2>L2a[chr3:7330289-7330451];LTR>ERVL-MaLR>THE1B[chr3:7330451-7330810]	
mh03SCUZJ-0056495	331	11.162	[length][repeat]			LTR>ERVL-MaLR>MLT1A0[chr3:8606083-8606429]	
mh03SCUZJ-0058881	244	4.448	[repeat]			SINE>Alu>AluJr[chr3:9048539-9048841];LINE>L2>L2a[chr3:9048841-9048998]	
mh03SCUZJ-0064731	339	3.615	[length][repeat]			LTR>ERVL>LTR33[chr3:10780773-10781196]	
mh03SCUZJ-0080612	231	10.814	[repeat]			LTR>ERVL-MaLR>THE1A[chr3:15550990-15551341]	
mh03SCUZJ-0084341	321	3.634	[length]				
mh03SCUZJ-0101318	274	4.086	[length][repeat]			SINE>Alu>AluSc[chr3:21837591-21837886]	
mh03SCUZJ-0105398	304	5.33	[length][repeat]			LTR>ERV1>LTR49[chr3:22162209-22162850]	
mh03SCUZJ-0130995	332	3.889	[indel][length][repeat]	0.1212		LINE>L1>L1ME3G[chr3:28737432-28737783]	
mh03SCUZJ-0138782	213	4.913	[indel]	0.2492			
mh03SCUZJ-0139620	69	3.907	[repeat]			SINE>Alu>AluYe6[chr3:30525617-30525914]	
mh03SCUZJ-0154827	322	5.745	[indel][length][repeat]	0.02065		SINE>Alu>AluSg[chr3:34214011-34214293]	
mh03SCUZJ-0161227	343	1.013	[indel][length][str]	0.2081			D3S1358
mh03SCUZJ-0165954	299	3.517	[indel][length][repeat][str]	0.3911		SINE>Alu>AluY[chr3:38772407-38772691]	D3S1358
mh03SCUZJ-0172202	267	5.548	[length][str]				D3S1358
mh03SCUZJ-0197004	338	8.228	[length][repeat][str]			LTR>ERVL-MaLR>MLT1C-int[chr3:54452442-54452663];LTR>ERVL-MaLR>MLT1C[chr3:54452663-54452975]	D3S1358
mh03SCUZJ-0204490	280	4.651	[indel][length][repeat]	0.05575		SINE>Alu>AluSg[chr3:56795655-56795934]	
mh03SCUZJ-0214757	200	4.309	[repeat]			LINE>L1>L1MA2[chr3:60494330-60495299]	
mh03SCUZJ-0229447	255	2.191	[indel]	0.009227			
mh03SCUZJ-0234425	276	9.114	[length][repeat]			SINE>Alu>AluSp[chr3:65287327-65287625]	
mh03SCUZJ-0242802	310	2.197	[length]				
mh03SCUZJ-0257419	276	2.472	[indel][length]	0.132			
mh03SCUZJ-0306913	231	4.612	[repeat]			LINE>L1>L1MA3[chr3:88255029-88255436]	
mh03SCUZJ-0332056	319	1.005	[indel][length]	0.08796			
mh03SCUZJ-0388069	266	7.091	[length]				
mh03SCUZJ-0392555	260	2.943	[repeat]			LINE>L1>L1PA3[chr3:119045132-119051153]	
mh03SCUZJ-0400856	299	3.735	[length][repeat]			LINE>L1>L1PA6[chr3:122442829-122443535]	
mh03SCUZJ-0421208	264	5.095	[indel][length][lowcomplex]	0.03562	GA-rich		
mh03SCUZJ-0436981	338	4.407	[length]				
mh03SCUZJ-0455199	332	3.363	[length][repeat]			LINE>L1>L1PA6[chr3:139877463-139883576]	
mh03SCUZJ-0473203	344	4.092	[length][repeat]			LTR>ERV1>HERVH-int[chr3:145552223-145552882];LTR>ERV1>HERVH-int[chr3:145552884-145553381]	
mh03SCUZJ-0489444	124	1.469	[indel]	0.06707			
mh03SCUZJ-0490785	291	4.293	[indel][length]	0.0444			
mh03SCUZJ-0501341	189	5.986	[repeat]			SINE>Alu>AluSx[chr3:154997340-154997641];LTR>ERVL-MaLR>MLT1B[chr3:154997641-154997812]	
mh03SCUZJ-0521312	186	10.759	[repeat]			SINE>Alu>AluY[chr3:162350500-162350795]	
mh03SCUZJ-0556403	308	6.458	[length][repeat]			SINE>Alu>AluYj4[chr3:172616513-172616818]	
mh03SCUZJ-0556515	28	2.972	[indel][repeat]	0.3435		SINE>Alu>AluY[chr3:172627885-172628194]	
mh03SCUZJ-0578825	325	3.845	[length]				
mh03SCUZJ-0585328	331	1.981	[length]				
mh03SCUZJ-0585347	36	1.0	[indel]	0.008436			
mh03SCUZJ-0589868	346	4.053	[length][repeat]			LINE>L1>HAL1[chr3:185905053-185905098];SINE>Alu>AluSz[chr3:185905100-185905407]	
mh03SCUZJ-0602768.v1	327	6.485	[length]				
mh03SCUZJ-0623568	346	7.248	[length]				
mh03SCUZJ-0628750	293	3.64	[length]				
mh03SCUZJ-0630191	335	8.546	[length][repeat]			LTR>ERV1>MER41D[chr3:194339377-194339739]	
mh03SHY-001	177	5.622	[indel][repeat]	0.02995		LINE>L2>L2a[chr3:2153107-2153611]	
mh03USC-3pB	67	3.444	[str]				D3S1358
mh03WL-005.v1	166	3.256	[indel]	0.2006			
mh03WL-005.v2	75	3.139	[indel]	0.2006			
mh03WL-005.v3	140	3.256	[indel]	0.2006			
mh03WL-006.v2	284	6.775	[length]				
mh03WL-015.v1	159	2.735	[indel]	0.189			
mh03WL-015.v2	275	3.416	[indel][length]	0.189			
mh03WL-018.v1	136	3.345	[str]				D3S1358
mh03WL-018.v2	271	3.581	[length][str]				D3S1358
mh03WL-020.v1	113	1.0	[indel]	0.06174			
mh03WL-020.v2	241	1.0	[indel]	0.06174			
mh03WL-029.v2	279	3.373	[length]				
mh03WL-039.v2	277	3.504	[length]				
mh03WL-050	217	1.0	[indel]	0.0428			
mh03WL-054	276	4.426	[length]				
mh03WL-057	298	4.042	[length]				
mh03WL-059	290	3.461	[length]				
mh03WL-064	280	3.419	[length]				
mh03WL-065.v1	200	1.0	[indel]	0.166			
mh03WL-065.v2	59	1.0	[indel]	0.166			
mh03WL-070.v1	181	3.225	[str]				D3S1358
mh03WL-070.v2	248	4.515	[str]				D3S1358
mh03WL-070.v3	324	5.24	[length][str]				D3S1358
mh03WL-070.v4	107	3.173	[str]				D3S1358
mh03WL-073	170	3.754	[indel]	0.03299			
mh03WL-088	196	2.888	[indel]	0.01768			
mh03ZBF-001	79	1.0	[indel]	0.3245			
mh03ZBF-002	88	1.903	[indel]	0.3887			
mh03ZHA-001	177	3.266	[indel]	0.3934			
mh03ZHA-009	344	4.369	[length][repeat]			SINE>Alu>AluJo[chr3:3117055-3117339]	
mh04CP-003	28	2.92	[repeat]			LINE>L2>L2[chr4:4324641-4324860]	
mh04CP-004	29	2.669	[repeat]			LINE>L1>L1M5[chr4:7402706-7402931]	
mh04CP-005	30	2.52	[indel]	0.28			
mh04FHL-005.v3	294	7.442	[length]				
mh04FHL-005.v4	281	4.782	[length]				
mh04FHL-005.v5	328	6.091	[length]				
mh04KK-010.v3	261	3.02	[length]				
mh04KK-016	67	2.044	[repeat]			LINE>L1>L1MEc[chr4:99392791-99393128]	
mh04KK-030.v2	284	4.656	[length]				
mh04KK-030.v3	284	4.66	[length]				
mh04LS-4qI	173	3.002	[str]				FGA
mh04LW-13	76	3.291	[repeat]			LTR>ERV1>LTR12C[chr4:36374760-36376066]	
mh04LW-16	69	2.067	[indel][repeat][str]	0.373		SINE>Alu>AluSp[chr4:154216352-154216635]	FGA
