Marker	RSIDs
mh02KK-102	rs2169812,rs2378217,rs6542783
mh02KK-003	rs11123719,rs11691107,rs260694
mh02KK-004	rs13424991,rs3731611,rs3731612
mh02SHY-001	rs149359261,rs528421818,rs530734058,rs542318045,rs555571888,rs565979066,rs567587573,rs570887971,rs6542588,rs6542589,rs72827463,rs72958773,rs74570832,rs7576183
mh02SHY-002	rs11687264,rs1430625,rs1430626,rs368735687,rs374513743,rs536607996,rs552921449,rs554669370,rs73957656,rs76661954
mh02KK-215	rs16832624,rs2011946
mh02USC-2qB	rs1378757,rs4954545,rs960064
mh02ZHA-013	rs11695953,rs62168684,rs6430761,rs7606213
mh02SHY-003	rs13403886,rs13415789,rs16823166,rs182130446,rs2204900,rs2204901,rs2204902,rs548846200,rs59796348
mh02KK-201	rs1371048,rs786247
mh02ZHA-012	rs867005,rs949778,rs952210
mh02KK-005	rs10497052,rs2170607
mh02KK-134	rs12469721,rs3101043,rs3111398,rs72623112
mh02AT-05	rs12469721,rs3101043,rs3111398
mh02SHY-004	rs1238697,rs1431897,rs187281545,rs566623403,rs74918127,rs986696
mh02USC-2qC	rs10930308,rs16854955,rs77278474
mh02ZBF-002	rs199997091,rs2012213,rs2012214
mh02LV-05	rs10172255,rs10195588,rs111950337,rs113440300,rs13028755,rs138001968,rs138524547,rs143043578,rs143339325,rs186073087,rs368167114,rs4972562,rs529841576,rs545429377,rs55875524,rs558873260,rs560851191,rs565195670,rs56769075,rs60872411,rs7571654,rs7571747
mh02USC-2qD	rs10179825,rs10179987,rs12615620
mh02ZHA-008	rs11692946,rs6758274,rs7579563
mh02NH-06	rs3769642,rs3769643,rs3769644
mh02KKCS-136	rs12617010,rs184900040,rs6714835,rs6728149,rs6756898
mh02KK-136	rs12617010,rs6714835,rs6756898
mh02AT-07	rs12617010,rs6714835,rs6756898
mh02USC-2qE	rs10933619,rs4676417,rs4676418
mh03SHY-001	rs112437259,rs13069426,rs137905761,rs145924004,rs2727925,rs540769837,rs551668369,rs564338520,rs73095820,rs73806330,rs7649507,rs77509778
mh03ZHA-009	rs193098,rs6784393,rs73005815,rs9831674
mh03LV-01	rs111704353,rs111771128,rs13087672,rs13089179,rs147314904,rs150062515,rs150881536,rs17040924,rs17758821,rs187450783,rs199906322,rs539442686,rs56073408,rs561851752,rs566180672,rs571141628,rs573011000,rs59060606,rs59221590,rs59377625,rs62231456,rs77763553
mh03USC-3pA	rs11710159,rs1991577,rs9849667,rs9853649
mh03LV-07	rs111720119,rs111977600,rs112429373,rs112787132,rs138242646,rs147029778,rs181399861,rs183047086,rs183360215,rs185812101,rs185872980,rs187597945,rs189540812,rs35487831,rs36112205,rs368083082,rs373930868,rs373990226,rs375589830,rs377302835,rs3967027,rs4054499,rs4350906,rs4350907,rs4414837,rs4459888,rs4502569,rs4597697,rs533299841,rs536241427,rs540940124,rs547729890,rs551103072,rs551826168,rs551928264,rs552351215,rs558615254,rs561123737,rs563013731,rs569801541,rs572186439,rs574760178
mh03LV-06	rs115110074,rs186777109,rs2600246,rs2618382,rs2618383,rs303846,rs303847,rs372657560,rs376075344,rs547189871,rs557719662,rs55955151,rs58820061,rs62247767,rs9878130,rs9878282
mh03KKCS-016	rs13082821,rs367833150,rs375235722,rs874967,rs874969,rs9310444,rs9310445,rs9867515,rs9867516
mh03CP-005	rs11714810,rs13066152,rs4684257,rs61495356
mh03NH-07	rs2293140,rs2293141,rs2293142
mh03SHY-002	rs11927501,rs142072969,rs144782389,rs182224124,rs186827683,rs541049365,rs552151484,rs558572144,rs62237368,rs6785887,rs6794539,rs73819316
mh03ZHA-001	rs4858685,rs4858686,rs75773180,rs9838878
mh03SHY-003	rs138694002,rs140794158,rs142691383,rs150108526,rs197766,rs2162683,rs267526,rs267527,rs539492553,rs544688665,rs552841442,rs573917485
mh03USC-3pB	rs11129981,rs11129982,rs11129983,rs1896565,rs75361533
mh03KK-007	rs4513489,rs6441961
mh03AT-08	rs4513489,rs6441961
mh03KK-008	rs17030627,rs6808142
mh03KK-216	rs1046953,rs2072053
mh03USC-3pC	rs1557912,rs1557913,rs72887867,rs9870526
mh03SHY-004	rs12630811,rs1479947,rs181195752,rs191308801,rs549072634,rs553006832,rs560714329,rs573947936,rs6780766,rs73130463,rs75604997,rs781295
mh03USC-3qA	rs16839424,rs16839427,rs2047390,rs62267188
mh03ZBF-001	rs10546081,rs3836269
mh03KK-009	rs3732783,rs6280
mh03KK-006	rs1919550,rs9873644
mh03KKCS-150	rs1225048,rs1225049,rs1225050,rs1225051
mh03KK-150	rs1225048,rs1225049,rs1225050,rs1225051
mh03AT-09	rs1225050,rs1225051
mh03USC-3qB	rs10804627,rs35775034,rs6776502
mh03KK-020	rs12494698,rs4683510
mh03SHY-005	rs11711259,rs149699025,rs541509942,rs550287282,rs560099772,rs568616078,rs73866285,rs75174352,rs76261063,rs79518366,rs9818127
mh03ZBF-002	rs262990,rs3830564
mh03USC-3qC	rs6583335,rs843520,rs965140,rs9833841,rs9848767
mh04KKCS-010	rs185470596,rs3135123,rs376745306,rs495367
mh04KK-010	rs3135123,rs495367
mh04AT-10	rs3135123,rs495367
mh04KK-030	rs16844737,rs1884411,rs1884412,rs4916615
mh04CP-003	rs10006433,rs2980189,rs58595616
mh04CP-004	rs4689729,rs58257016,rs78610507
mh04USC-4pA	rs10938693,rs11936149,rs12498797,rs13152013
mh04CP-005	rs143072335,rs374117083,rs574594810
mh04ZHA-001	rs10939388,rs12501341,rs6830692,rs9714725
mh04CP-007	rs4697751,rs4698039,rs4698040
mh04ZBF-001	rs1382755,rs33911727
mh04ZHA-002	rs10939597,rs62409414,rs62409415,rs79276692
mh04CP-002	rs34017818,rs35619595,rs6814654
mh04USC-4pB	rs10015011,rs16992511,rs16992516
mh04KK-011	rs6531591,rs6855439
mh04KK-074	rs11932595,rs17085763
mh04ZHA-004	rs10049992,rs1714017,rs1914740,rs6835177
mh04USC-4qA	rs13115268,rs2642174,rs9996466
mh04KK-013	rs11725922,rs13131164,rs17088476,rs3775866,rs3775867
mh04AT-12	rs11725922,rs3775866,rs3775867
mh04USC-4qB	rs3828541,rs60652198,rs6532796
mh04KK-028	rs283413,rs3762896
mh04KK-015	rs12648443,rs2584457
mh04KK-016	rs2032350,rs2851017
mh04KK-017	rs1442492,rs2584461,rs4699748
mh04KK-029	rs59534319,rs971074
mh04SHY-001	rs138375494,rs146990371,rs185529862,rs313935,rs3822280,rs3822281,rs3822282,rs538159295,rs571522102,rs7657219
mh04SHY-002	rs140446743,rs147749361,rs150471849,rs4834311,rs560316241,rs602125,rs62314901
mh04ZHA-007	rs62308082,rs6819048,rs74383997
mh04USC-4qC	rs10028045,rs6813070,rs72617471,rs9684324
mh04KK-019	rs17731793,rs2122136
mh04USC-4qD	rs34521178,rs4450974,rs4533811,rs61132367
mh04SHY-003	rs12648024,rs1547909,rs538951634,rs539824019,rs547801436,rs554359118,rs574522173,rs575514109,rs58758554
mh04KK-021	rs1280099,rs1280100
mh04SHY-004	rs144587489,rs181771457,rs4507419,rs4541573,rs527922854,rs550165644,rs56853008,rs571104503,rs7441526
mh05KKCS-169	rs10428542,rs10428597,rs116092316,rs260410,rs62335822,rs62335823
mh05CP-006	rs12653673,rs6555064,rs6555065
mh05KK-170	rs370672,rs438055,rs6555108,rs74865590
mh05AT-13	rs370672,rs6555108
mh05SHY-001	rs10475181,rs116603841,rs11952868,rs183598528,rs189465581,rs191458431,rs373482346,rs3925783,rs550642043,rs555618553,rs561924110,rs6864708,rs6864829,rs75638577,rs9313013
mh05SHY-002	rs148903030,rs2913655,rs4305618,rs4323203,rs4323204,rs4463155,rs534890352,rs556148965
mh05SHY-003	rs114451474,rs115414340,rs117438876,rs11746050,rs180728324,rs184427494,rs545959221,rs565647602,rs573281030,rs576995582,rs6555376,rs6895235,rs7709608
mh05KK-062	rs870347,rs870348
mh05CP-004	rs150628,rs16883189,rs61243436
mh05KK-022	rs41461,rs41462
mh05AT-14	rs41461,rs41462
mh05KK-078	rs2234233,rs2234234
mh05KK-079	rs2234232,rs41469
mh05USC-5pA	rs1393134,rs1697905,rs2907091,rs2973486
mh05CP-010	rs62349578,rs62349579,rs62349580,rs62349581
mh05KK-120	rs16891982,rs2278007,rs35398
mh05KK-121	rs1364038,rs185145,rs185146,rs35398
mh05KK-122	rs1010872,rs28777
mh05KK-123	rs1423676,rs28117
mh05KK-124	rs35414,rs3756464
mh05ZBF-001	rs13158027,rs2307656
mh05KKCS-020	rs2278324,rs2278325,rs525735,rs617938,rs74924445,rs80052994
mh05KK-023	rs2278324,rs2278325,rs617938
mh05KK-020	rs2278324,rs2278325,rs525735,rs617938
mh05USC-5pB	rs35656601,rs6897963
mh05USC-5qA	rs16885510,rs400452,rs421215,rs71624133
mh05NH-09	rs2255633,rs2255634,rs2255637
mh05USC-5qB	rs4264928,rs4308467,rs4489045,rs56997890
mh05USC-5qC	rs10491291,rs256256,rs256257
mh05NH-10	rs2237070,rs2237071,rs2237072
mh05ZHA-005	rs1696966,rs1696967,rs17066625,rs1799554
mh05ZHA-004	rs2457087,rs2644662,rs2662178
mh05USC-5qD	rs10062221,rs28397824,rs4700820
mh05ZHA-002	rs28060,rs33899,rs33900
mh06KK-025	rs11242810,rs318453,rs9501899
mh06CP-007	rs4142082,rs558006,rs6906397
mh06CP-003	rs12202010,rs4960100,rs4960101
mh06KK-080	rs2056941,rs2056942
mh06KK-026	rs179939,rs4431439,rs4565296
mh06KK-030	rs10949381,rs607341,rs675934
mh06USC-6pA	rs16888137,rs6931626,rs9379570
mh06KKCS-090	rs1061535,rs1061536,rs1061537,rs113213828,rs2256539,rs2256543,rs2523972,rs3202637,rs4713276,rs6911940,rs6939037,rs9260770
mh06SHY-001	rs147565782,rs183960782,rs189369410,rs191684739,rs3131061,rs3131062,rs3131063,rs373014616,rs375184065,rs534193486,rs556228197,rs561866567,rs568722578,rs576404970,rs62408705,rs6930444
mh06SHY-002	rs114216136,rs115741140,rs1265156,rs1265157,rs191416168,rs28360051,rs3094188,rs541030576,rs547072907,rs566976874
mh06PK-25713	rs115374779,rs28362333,rs28397272,rs28397273,rs28397274,rs28397275
mh06SHY-003	rs144123929,rs2760993,rs573809619,rs74812635,rs602457,rs75324027,rs9270967,rs9270968,rs9270969,rs9270970,rs9270971,rs9270972
mh06LV-09	rs114484337,rs12200756,rs150884041,rs3130184,rs3130185,rs3130593,rs3130594,rs396638,rs412735,rs435549,rs449635,rs570318069,rs6457707,rs6457708
mh06SHY-004	rs117063877,rs17374068,rs236376,rs4711470,rs536904828,rs543981574,rs576701001,rs9366917,rs9394384
mh06USC-6pB	rs3001008,rs4645423,rs6903399
mh06KK-031	rs10455681,rs10455682
mh06USC-6qA	rs10806089,rs11756056,rs72894648
mh06SHY-005	rs12526513,rs140139419,rs143911623,rs149485848,rs34476527,rs373542088,rs56411036,rs9344244,rs9361886
mh06USC-6qB	rs1932879,rs2799638,rs513485,rs685476
mh06ZBF-001	rs1527874,rs1527875
mh06USC-6qC	rs7753659,rs9398528,rs9489814
mh06USC-6qD	rs17592412,rs36050623,rs9365583,rs9365584
mh06KKCS-104	rs16897782,rs220806,rs220807,rs375807743,rs9457084
mh06KK-008	rs6605523,rs6605524,rs6921774,rs6930377
mh06NH-11	rs2294498,rs2294499,rs2294500
mh06KK-101	rs2180052,rs9356632
mh07USC-7pA	rs11769538,rs11769542,rs12699242,rs69
mh07ZBF-001	rs11767982,rs59679400
mh07CP-004	rs34303279,rs4719476,rs4719477,rs60341514,rs61687146
mh07SHY-001	rs149251008,rs184451671,rs192155820,rs1989493,rs568606895,rs58064027,rs58908118,rs62450567,rs6950384,rs78348113
mh07USC-7pB	rs2158900,rs6951954,rs6969555,rs73080042
mh07NH-12	rs2073541,rs2073542,rs2073543
mh07ZHA-003	rs378367,rs404569,rs433709,rs4724041
mh07ZHA-004	rs2971679,rs3808323,rs6971410
mh07PK-38311	rs11979296,rs2439742,rs2463889,rs2463890
mh07KK-030	rs10226425,rs2330425,rs967066
mh07USC-7pC	rs13228137,rs13238865,rs7800246,rs7811722,rs7811740
mh07SHY-002	rs145317771,rs4717391,rs4717392,rs4718586,rs4718587,rs576499014,rs59382180,rs61603822,rs6957265
mh07USC-7qA	rs10257650,rs7800426,rs7804292
mh07KK-031	rs10246622,rs17168174
mh07KK-081	rs28365094,rs41303343
mh07ZHA-009	rs11773043,rs144858626,rs149890778,rs7792859
mh07USC-7qB	rs2396784,rs4483078,rs7791565
mh07KK-082	rs150209521,rs713598
mh07USC-7qC	rs10952319,rs11769593,rs12532553,rs12532554,rs1528976
mh08PK-46625	rs116697803,rs935825,rs935826,rs935827
mh08ZBF-001	rs3824168,rs3824169,rs3824170
mh08ZHA-003	rs1471734,rs341730,rs73492855,rs921781
mh08USC-8pA	rs10097211,rs7007616,rs73660014,rs80063668
mh08KK-039	rs10503214,rs1905100,rs7822812,rs7838695,rs922794,rs922795
mh08ZHA-008	rs13272409,rs6997388,rs76386173,rs77698197
mh08SHY-001	rs12674877,rs140353993,rs143993930,rs191158185,rs33919175,rs4875588,rs4875589,rs4875590,rs531970608,rs535882841,rs538009856,rs543245350,rs549295890,rs551031024,rs562050458,rs563236718,rs571036384,rs74764433,rs76481889,rs79064857
mh08ZHA-009	rs201591576,rs4875646,rs4875647,rs7824642
mh08KK-032	rs1390950,rs2898295
mh08ZHA-011	rs13265601,rs13268053,rs4831247,rs4831248
mh08SHY-002	rs1037938,rs114233438,rs13271560,rs13275871,rs149725051,rs533476181,rs544769099,rs562794132,rs75107948,rs9987090
mh08USC-8pB	rs34821009,rs6474278,rs7822905,rs7822909,rs7836134
mh08SHY-003	rs140178322,rs1553931,rs1553932,rs4571720,rs4736894,rs528517127,rs538502128,rs541039428,rs548357305,rs558435352,rs566032008,rs571681943,rs574504086,rs79136309
mh08SHY-004	rs10098029,rs182571478,rs35338947,rs527761918,rs533315648,rs534403666,rs550005054,rs555193021,rs73240981,rs78035889,rs78467183
mh08USC-8qA	rs344201,rs344202,rs6990858
mh08SHY-005	rs192120842,rs2380580,rs2380581,rs2380582,rs536954372,rs548022587,rs549506615
mh08USC-8qB	rs10283072,rs2626343,rs2721247
mh08SHY-006	rs184147884,rs190411391,rs526567,rs527950561,rs537100896,rs541077853,rs546886429,rs549233012,rs553285499,rs55716806,rs55901817,rs578027093,rs681403,rs7838699,rs7838817
mh08CP-009	rs1420860,rs2264611,rs2264612
mh08SHY-007	rs148317886,rs16904694,rs2597374,rs2673581,rs2673582,rs543178308,rs572373109,rs577397071
mh08USC-8qC	rs10093040,rs10505669,rs16906685,rs9324441
mh08ZBF-002	rs2960102,rs5895446
mh08ZHA-010	rs11783687,rs9886647,rs9886648
mh09KK-161	rs16932430,rs4741823
mh09KK-033	rs10815466,rs17431629,rs9408671
mh09AT-15	rs10815466,rs17431629,rs9408671,rs9408672
mh09USC-9pA	rs11789647,rs12555748,rs1408329,rs1408330,rs1535838
mh09ZBF-001	rs28669967,rs33951431,rs4741748
mh09KKCS-145	rs10815071,rs12003360,rs12005199,rs181550768,rs409950,rs59428916,rs73401750,rs7849565
mh09NH-13	rs2282161,rs2282162,rs3818705
mh09KK-034	rs1408800,rs1408801
mh09KK-020	rs10810635,rs10962598,rs10962599,rs73649032
mh09SHY-001	rs10491885,rs10491886,rs10968632,rs10968633,rs112808602,rs114697867,rs138500924,rs143060381,rs184311299,rs28472295,rs576539938
mh09USC-9pB	rs7855880,rs7869450,rs7869548,rs7869638
mh09USC-9qA	rs11142562,rs60864427,rs76929424
mh09KK-152	rs10780576,rs10867949,rs4282648,rs7046769
mh09AT-16	rs10780576,rs4282648,rs7046769
mh09ZHA-004	rs10125273,rs10125295,rs10125370,rs72618165
mh09KK-153	rs10125791,rs2987741,rs7047561
mh09USC-9qB	rs10820076,rs689230,rs689244,rs7020766
mh09SHY-002	rs10980041,rs13286006,rs13286306,rs150951692,rs16914504,rs188386268,rs2094453,rs528045590,rs537746332,rs542517171,rs544833044,rs553158637,rs555758027,rs560940991,rs73655506
mh09SHY-003	rs10759469,rs142675718,rs200449823,rs2821143,rs2846439,rs2846440,rs527615668,rs531406067,rs560263039
mh09ZHA-008	rs10739387,rs10981667,rs11506774
mh09LV-02	rs10819199,rs10819200,rs113012024,rs111669937,rs12337414,rs12350919,rs13291248,rs13291545,rs13292438,rs144238176,rs181478293,rs183288955,rs186593486,rs188624921,rs189743360,rs191895045,rs28609330,rs35517566,rs368210226,rs370449161,rs370545855,rs370933133,rs371715279,rs373126117,rs376290537,rs529202223,rs530640980,rs533390246,rs535890950,rs536746419,rs541683464,rs544173172,rs550281992,rs555152974,rs567148262,rs569122097,rs572669199,rs572807827,rs576932245,rs578035208,rs58672891,rs58798877,rs62580166,rs62580167,rs62580168
mh09KK-157	rs2073578,rs56256724,rs606141,rs633153,rs8193001
mh09AT-17	rs2073578,rs56256724,rs633153
mh09USC-9qC	rs10993851,rs2519993,rs2519994,rs2789822,rs2810498
mh09KK-035	rs10776839,rs3118582
mh09AT-18	rs10776839,rs7037930,rs76875728
mh09SHY-004	rs146336708,rs527887693,rs539792072,rs546173375,rs547733027,rs548289285,rs550472685,rs554729158,rs568906154,rs77521136,rs78602986,rs914737,rs914738,rs914739
mh10KK-163	rs3814588,rs3814589,rs3814590,rs6602026,rs9423466
mh10AT-19	rs3814588,rs3814589,rs6602026
mh10ZBF-001	rs10905513,rs11256056,rs41293961,rs687805
mh10CP-006	rs11257345,rs11818646,rs2516625,rs2516626,rs7896450
mh10USC-10pA	rs10795793,rs11256580,rs6602424
mh10NH-14	rs2277214,rs2277215,rs2277216
mh10KK-169	rs10796164,rs10796165,rs10796166,rs10906617,rs17154765
mh10CP-005	rs10906716,rs77839883,rs943547
mh10SHY-001	rs1359852,rs1410075,rs1410076,rs1410077,rs187496359,rs2768733,rs528783308,rs532750585,rs544316292,rs568651538,rs571000172
mh10LV-03	rs10752059,rs10904788,rs112046996,rs115541352,rs12219128,rs12219154,rs12571438,rs12781286,rs139059159,rs149872751,rs150723478,rs17331187,rs183677658,rs188882774,rs192089984,rs373744354,rs539307419,rs547161232,rs549462391,rs555098693,rs55733532,rs55881942,rs575996790,rs75573951,rs78087910,rs79370786
mh10ZHA-002	rs10764175,rs10827896,rs10827897,rs148665640
mh10CP-003	rs10764460,rs220365,rs727269
mh10USC-10pB	rs10828819,rs11816330,rs4749046
mh10NH-15	rs2284945,rs2284946,rs2284947
mh10USC-10qA	rs10900038,rs1577179,rs1577180
mh10KK-170	rs12359688,rs2250840,rs2250841
mh10USC-10qB	rs11189823,rs11189824,rs11594714
mh10KK-083	rs11568732,rs12248560
mh10KK-084	rs1058930,rs11572103
mh10KK-085	rs11572076,rs2275622
mh10KK-086	rs17110453,rs7909236
mh10SHY-002	rs1252892,rs142864424,rs181652028,rs190488281,rs2182165,rs527412501,rs552314766,rs553900759,rs558736688,rs568344566,rs73329419,rs912807
mh10KK-087	rs10884095,rs1452267
mh10NH-16	rs911700,rs911701,rs911703
mh10SHY-003	rs10901776,rs12765335,rs137893265,rs1563277,rs17152079,rs35174510,rs531930481,rs533754851,rs541874272,rs549759122,rs552796332,rs56079813,rs564445830,rs566623830,rs74601860
mh10PK-62104	rs117388489,rs551467655,rs6482857,rs6482858,rs6482859,rs7898198,rs7916819
mh10USC-10qC	rs12768641,rs200792837,rs60227220
mh10KK-101	rs915907,rs915908
mh10KK-088	rs2515641,rs55897648
mh11PK-62906	rs117797856,rs55713821,rs577259,rs577298,rs577357,rs6598058,rs76312605
mh11KKCS-180	rs113739994,rs12360952,rs12802112,rs28631755,rs4752777,rs4752778,rs7105950,rs7109697,rs7112918,rs74047734
mh11KK-180	rs12802112,rs28631755,rs4752777,rs7112918
mh11AT-20	rs4752777,rs4752778,rs7112918
mh11KK-036	rs10500616,rs2499936
mh11AT-21	rs10500616,rs2499936
mh11CP-003	rs12289831,rs2045045,rs2045046
mh11USC-11pA	rs10734227,rs10832301,rs12577507
mh11NH-17	rs2074310,rs2074311,rs2074312
mh11CP-004	rs35728001,rs76882177,rs77516091
mh11CP-005	rs7118419,rs72865222,rs7926642
mh11ZBF-001	rs11029986,rs35974596
mh11USC-11pB	rs12273809,rs2420395,rs2420396,rs59090359
mh11NH-18	rs3794040,rs3794041,rs3794042
mh11NH-19	rs2023853,rs2023854,rs2023855
mh11USC-11qA	rs10792738,rs2155454
mh11KK-037	rs10898849,rs341065,rs395447
mh11KK-187	rs17137917,rs17137926,rs493442,rs551850
mh11KKCS-190	rs114239369,rs1426651,rs149859006,rs56058681,rs61894297,rs72968980,rs7936934
mh11KK-191	rs12289401,rs12420819,rs12421109,rs770566
mh11AT-22	rs12289401,rs12421109
mh11USC-11qB	rs3758860,rs3758861,rs6590985,rs7943404
mh11KK-092	rs1807939,rs1943620,rs7928046
mh11KK-038	rs2303377,rs2303378
mh11KK-039	rs10891537,rs2288159
mh11KK-040	rs11214596,rs4938013
mh11AT-23	rs11214596,rs4938013
mh11KK-089	rs1124492,rs1124493
mh11KK-041	rs6275,rs6277
mh11KK-103	rs1079727,rs1107162,rs2002453,rs2075654
mh11KK-090	rs1079597,rs1079598
mh11KK-091	rs1799732,rs1799978
mh11ZHA-006a	rs3809054,rs3809055,rs3809056,rs3809057
mh11SHY-001	rs2604200,rs2846695,rs4937392,rs530245878,rs538119386,rs56398738,rs569541793
mh11USC-11qC	rs3019797,rs7105133,rs9787807
mh12CP-008	rs11062051,rs12321049,rs540238705
mh12NH-20	rs2239020,rs2239021,rs2239022,rs2239023
mh12KK-043	rs11062734,rs11613749,rs17780102
mh12USC-12pA	rs12422771,rs12426815,rs2072377,rs2072378
mh12KK-092	rs2707209,rs2857234
mh12KKCS-199	rs139574449,rs1641719,rs1641720,rs17819677,rs6488494
mh12SHY-001	rs10744028,rs10845765,rs10845766,rs11610218,rs117778907,rs17759808,rs531277187,rs550355416,rs57936120
mh12KKCS-201	rs11049080,rs11049081,rs11834107,rs140345281,rs145035089,rs7138224,rs73084353,rs73084354,rs7959051,rs7959164,rs7959186,rs7972446
mh12USC-12pB	rs1909158,rs1909159,rs7296351
mh12KKCS-202	rs10506052,rs10506053,rs116560588,rs4931233,rs4931234
mh12KK-202	rs10506052,rs10506053,rs4931233,rs4931234
mh12AT-24	rs10506053,rs4931233,rs4931234
mh12USC-12qA	rs11176418,rs7954300,rs7957367
mh12USC-12qB	rs10878750,rs11177060,rs11835920,rs2111058
mh12CP-007	rs11177408,rs4913472,rs7968202
mh12ZHA-008	rs10862775,rs61954584,rs9943694,rs9943755
mh12USC-12qC	rs10859942,rs11830564,rs11830584,rs7977346
mh12KK-093	rs11111391,rs7970874
mh12KK-045	rs2133298,rs3817446
mh12KK-042	rs593226,rs7969300
mh12KK-046	rs11068953,rs1503767
mh12AT-25	rs11068953,rs1503767
mh12CP-003	rs12827386,rs12828852,rs77966432
mh12KKCS-209	rs113507589,rs147809360,rs2173910,rs5012151,rs5012152,rs764902,rs79004033
mh13KK-213	rs679482,rs8181845,rs9510616
mh13AT-26	rs2152727,rs679482,rs9510616
mh13CP-008	rs9507311,rs9553248,rs9553249
mh13SHY-001	rs147561155,rs188394888,rs2000304,rs540115781,rs541809849,rs544051521,rs577550688,rs73167689,rs9551406,rs9554176,rs9579117
mh13CP-010	rs12859370,rs6490374,rs7998959
mh13USC-13qA	rs2149859,rs570992,rs571057,rs9315199
mh13SHY-002	rs11147803,rs138218726,rs142663785,rs150600212,rs180829727,rs2802495,rs2802496,rs541814865,rs577050046
mh13KKCS-217	rs2764588,rs2765614,rs7320507,rs76839632,rs9534373,rs9562648,rs9562649
mh13KK-217	rs2765614,rs7320507,rs9562648,rs9562649
mh13AT-27	rs2765614,rs9562649
mh13KK-047	rs2066700,rs806301
mh13SHY-003	rs1927847,rs543818089,rs557313728,rs575165862,rs7492234,rs9536429,rs9536430
mh13KK-218	rs1927847,rs7492234,rs9536429,rs9536430
mh13USC-13qB	rs1340493,rs1890901,rs4357820,rs9598587
mh13KKCS-225	rs115260715,rs4884651,rs4884652,rs7329287,rs9529023
mh13KK-225	rs4884651,rs7329287,rs9529023
