Marker	RSID	Chrom	GRCh37	GRCh38
mh04KK-013	rs13131164	4	68444102	67578384
mh04KK-013	rs3775866	4	68444180	67578462
mh04KK-013	rs11725922	4	68444192	67578474
mh04KK-013	rs3775867	4	68444257	67578539
mh04KK-013	rs17088476	4	68444302	67578584
mh04KK-013	rs73829227	4	68444231	67578513
mh04KK-013	.	4	68444175	.
mh04KK-030	rs16844737	4	3666370	3664643
mh04KK-030	rs4916615	4	3666403	3664676
mh04KK-030	rs1884412	4	3666471	3664744
mh04KK-030	rs1884411	4	3666484	3664757
mh04KK-030	rs58827274	4	3666494	3664767
mh04KK-030	rs148696985	4	3666211	3664484
mh04KK-030	.	4	3666286	.
mh05KK-020	rs617938	5	38881460	38881358
mh05KK-020	rs2278325	5	38881538	38881436
mh05KK-020	rs2278324	5	38881603	38881501
mh05KK-020	rs525735	5	38881628	38881526
mh05KK-020	rs74924445	5	38881636	38881534
mh05KK-020	rs80052994	5	38881438	38881336
mh05KK-169	rs260410	5	1898501	1898387
mh05KK-169	rs62335822	5	1898598	1898484
mh05KK-169	rs10428542	5	1898614	1898500
mh05KK-169	rs10428597	5	1898679	1898565
mh05KK-169	rs62335823	5	1898603	1898489
mh05KK-169	rs116092316	5	1898610	1898496
mh05KK-170	rs74865590	5	2448024	2447910
mh05KK-170	rs438055	5	2448052	2447938
mh05KK-170	rs370672	5	2448146	2448032
mh05KK-170	rs6555108	5	2448160	2448046
mh05KK-170	rs436910	5	2447928	2447814
mh05KK-170	rs79374881	5	2447938	2447824
mh05KK-170	rs80244780	5	2448006	2447892
mh05KK-170	rs143205094	5	2448165	2448051
mh05KK-170	rs58296930	5	2447946	2447832
mh05KK-170	rs199671779	5	2447936	2447822
mh05KK-170	rs143851316	5	2447924	2447810
mh05KK-170	rs116278333	5	2447910	2447796
mh05KK-170	.	5	2447984	.
mh05KK-178	rs35138278	5	67309764	68013936
mh05KK-178	rs282290	5	67309775	68013947
mh05KK-178	rs282291	5	67309926	68014098
mh05KK-178	rs1437125	5	67309933	68014105
mh05KK-178	rs75963146	5	67309818	68013990
mh05KK-178	rs116644437	5	67309994	68014166
mh05KK-178	rs115575506	5	67309802	68013974
mh05KK-178	.	5	67309820	.
mh06KK-008	rs6930377	6	169656029	169255934
mh06KK-008	rs6921774	6	169656079	169255984
mh06KK-008	rs6605524	6	169656120	169256025
mh06KK-008	rs6605523	6	169656248	169256153
mh06KK-008	rs6422749	6	169656144	169256049
mh06KK-008	rs55995725	6	169656271	169256176
mh06KK-008	rs115242802	6	169656173	169256078
mh06KK-008	rs113888184	6	169656303	169256208
mh06KK-008	rs147272602	6	169656293	169256198
mh06KK-008	.	6	169656141	.
mh06KK-008	.	6	169656291	.
mh06KK-008	.	6	169656216	.
mh06KK-090	rs2256539	6	29937740	29969963
mh06KK-090	rs2256543	6	29937833	29970056
mh06KK-090	rs3202637	6	29937896	29970119
mh06KK-090	rs1061535	6	29937924	29970147
mh06KK-090	rs6911940	6	29937790	29970013
mh06KK-090	rs1061537	6	29937795	29970018
mh06KK-090	rs1061536	6	29937826	29970049
mh06KK-090	rs2523972	6	29937784	29970007
mh06KK-090	rs9260770	6	29937721	29969944
mh06KK-090	rs4713276	6	29937794	29970017
mh06KK-090	rs6939037	6	29937971	29970194
mh06KK-090	rs113213828	6	29937692	29969915
mh06KK-104	rs16897782	6	165798851	165385362
mh06KK-104	rs220807	6	165798894	165385405
mh06KK-104	rs9457084	6	165798963	165385474
mh06KK-104	rs220806	6	165799038	165385549
mh06KK-104	rs375807743	6	165798940	165385451
mh07KK-009	rs13244868	7	18861121	18821498
mh07KK-009	rs2520361	7	18861140	18821517
mh07KK-009	rs2588633	7	18861147	18821524
mh07KK-009	rs28636374	7	18861219	18821596
mh07KK-009	rs28712504	7	18861265	18821642
mh07KK-009	rs28401174	7	18861138	18821515
mh07KK-009	rs148036593	7	18861199	18821576
mh07KK-009	rs28465160	7	18861181	18821558
mh07KK-009	rs375413102	7	18861238	18821615
mh07KK-009	rs115971745	7	18861169	18821546
mh07KK-009	rs189222341	7	18861172	18821549
mh07KK-009	.	7	18861174	.
mh07KK-009	.	7	18861190	.
mh08KK-039	rs1905100	8	3516792	3659270
mh08KK-039	rs10503214	8	3516836	3659314
mh08KK-039	rs7822812	8	3516874	3659352
mh08KK-039	rs922794	8	3516984	3659462
mh08KK-039	rs7838695	8	3517004	3659482
mh08KK-039	rs7839517	8	3516888	3659366
mh08KK-039	rs74752104	8	3516797	3659275
mh08KK-039	rs60536879	8	3516901	3659379
mh08KK-039	.	8	3516853	.
mh08KK-131	rs11782143	8	5461409	5603887
mh08KK-131	rs11136908	8	5461507	5603985
mh08KK-131	rs67207258	8	5461517	5603995
mh08KK-131	rs11136909	8	5461542	5604020
mh08KK-131	rs11775090	8	5461482	5603960
mh08KK-131	rs72624088	8	5461562	5604040
mh08KK-131	rs140864246	8	5461418	5603896
mh08KK-131	rs117526954	8	5461574	5604052
mh08KK-131	rs190035804	8	5461414	5603892
mh08KK-131	rs150466498	8	5461520	5603998
mh08KK-131	.	8	5461399	.
mh08KK-131	.	8	5461616	.
mh08KK-131	.	8	5461619	.
mh08KK-131	.	8	5461625	.
mh08KK-137	rs35052638	8	31083232	31225716
mh08KK-137	rs58875218	8	31083308	31225792
mh08KK-137	rs59644946	8	31083330	31225814
mh08KK-137	rs62506141	8	31083414	31225898
mh08KK-137	rs73232805	8	31083266	31225750
mh08KK-137	rs62506140	8	31083337	31225821
mh08KK-137	rs113565897	8	31083381	31225865
mh08KK-137	rs184519930	8	31083426	31225910
mh08KK-137	.	8	31083309	.
mh09KK-010	rs1408328	9	2288588	2288588
mh09KK-010	rs1535837	9	2288633	2288633
mh09KK-010	rs12555748	9	2288700	2288700
mh09KK-010	rs1535838	9	2288710	2288710
mh09KK-010	rs1408330	9	2288718	2288718
mh09KK-010	rs1408329	9	2288647	2288647
mh09KK-010	rs11789647	9	2288677	2288677
mh09KK-010	rs114987572	9	2288476	2288476
mh09KK-010	rs189134433	9	2288739	2288739
mh09KK-010	.	9	2288559	.
mh09KK-145	rs409950	9	4763368	4763368
mh09KK-145	rs12003360	9	4763473	4763473
mh09KK-145	rs12005199	9	4763491	4763491
mh09KK-145	rs7849565	9	4763526	4763526
mh09KK-145	rs10815071	9	4763484	4763484
mh09KK-145	rs73401750	9	4763342	4763342
mh09KK-145	rs59428916	9	4763309	4763309
mh09KK-145	rs181550768	9	4763343	4763343
mh09KK-153	rs10125791	9	103969740	101207458
mh09KK-153	rs2987741	9	103969775	101207493
mh09KK-153	rs7047561	9	103969852	101207570
mh09KK-153	rs1156731	9	103969888	101207606
mh09KK-153	rs62576887	9	103969642	101207360
mh09KK-153	.	9	103969712	.
mh09KK-157	rs606141	9	135862479	132987092
mh09KK-157	rs8193001	9	135862495	132987108
mh09KK-157	rs56256724	9	135862563	132987176
mh09KK-157	rs2073578	9	135862592	132987205
mh09KK-157	rs633153	9	135862632	132987245
mh09KK-157	rs370406708	9	135862478	132987091
mh09KK-157	.	9	135862508	.
mh09KK-161	rs7045710	9	344087	344087
mh09KK-161	rs4741822	9	344100	344100
mh09KK-161	rs4741823	9	344229	344229
mh09KK-161	rs16932430	9	344332	344332
mh09KK-161	rs76724192	9	344127	344127
mh09KK-161	rs57160652	9	344096	344096
mh09KK-161	rs75177501	9	344375	344375
mh09KK-161	rs184018458	9	344326	344326
mh09KK-161	.	9	344238	.
mh10KK-162	rs9423462	10	3160726	3118534
mh10KK-162	rs4881098	10	3160847	3118655
mh10KK-162	rs3829911	10	3160904	3118712
mh10KK-162	rs3829913	10	3160917	3118725
mh10KK-162	rs79563339	10	3160652	3118460
mh10KK-162	rs9423463	10	3160775	3118583
mh10KK-162	rs3829912	10	3160913	3118721
mh10KK-162	rs112639679	10	3160857	3118665
mh10KK-162	rs12777199	10	3160772	3118580
mh10KK-162	.	10	3160661	.
mh10KK-162	.	10	3160778	.
mh10KK-162	.	10	3160856	.
mh10KK-167	rs45594139	10	12545332	12503333
mh10KK-167	rs1111062	10	12545370	12503371
mh10KK-167	rs1111063	10	12545384	12503385
mh10KK-167	rs2815662	10	12545544	12503545
mh10KK-167	rs2815663	10	12545501	12503502
mh10KK-167	rs146279227	10	12545553	12503554
mh10KK-167	rs370497100	10	12545407	12503408
mh10KK-167	.	10	12545471	.
mh10KK-170	rs2250841	10	78910042	77150284
mh10KK-170	rs2250840	10	78910074	77150316
mh10KK-170	rs12359688	10	78910231	77150473
mh10KK-170	.	10	78910043	.
mh10KK-170	.	10	78910075	.
mh11KK-180	rs12802112	11	1690791	1669561
mh11KK-180	rs28631755	11	1690911	1669681
mh11KK-180	rs7112918	11	1690969	1669739
mh11KK-180	rs4752777	11	1690984	1669754
mh11KK-180	rs12360952	11	1690887	1669657
mh11KK-180	rs4752778	11	1690950	1669720
mh11KK-180	rs7109697	11	1690725	1669495
mh11KK-180	rs7105950	11	1690825	1669595
mh11KK-180	rs74047734	11	1690962	1669732
mh11KK-180	rs113739994	11	1690770	1669540
mh11KK-181	rs3852525	11	2819194	2797964
mh11KK-181	rs233440	11	2819227	2797997
mh11KK-181	rs78013	11	2819259	2798029
mh11KK-181	rs163173	11	2819282	2798052
mh11KK-181	rs116463395	11	2819295	2798065
mh11KK-181	rs372212221	11	2819193	2797963
mh11KK-181	.	11	2819175	.
mh11KK-183	rs4757879	11	20020097	19998551
mh11KK-183	rs2403552	11	20020166	19998620
mh11KK-183	rs11025352	11	20020251	19998705
mh11KK-183	rs2896591	11	20020258	19998712
mh11KK-183	rs112906811	11	20020228	19998682
mh11KK-183	rs56114506	11	20020094	19998548
mh11KK-183	rs139023539	11	20020187	19998641
mh11KK-183	.	11	20020176	.
mh11KK-183	.	11	20020192	.
mh11KK-190	rs1426651	11	97176319	97305319
mh11KK-190	rs56058681	11	97176369	97305369
mh11KK-190	rs7936934	11	97176479	97305479
mh11KK-190	rs61894297	11	97176482	97305482
mh11KK-190	rs72968980	11	97176507	97305507
mh11KK-190	rs114239369	11	97176449	97305449
mh11KK-190	rs149859006	11	97176542	97305542
mh11KK-191	rs12421109	11	99880163	100009431
mh11KK-191	rs12289401	11	99880224	100009492
mh11KK-191	rs12420819	11	99880282	100009550
mh11KK-191	rs770566	11	99880352	100009620
mh11KK-191	rs11222337	11	99880341	100009609
mh11KK-191	.	11	99880334	.
mh12KK-046	rs1503767	12	118889488	118451683
mh12KK-046	rs11068953	12	118889559	118451754
mh12KK-046	rs3903095	12	118889776	118451971
mh12KK-046	rs139873540	12	118889568	118451763
mh12KK-046	rs75554846	12	118889528	118451723
mh12KK-046	.	12	118889681	.
mh12KK-199	rs17819677	12	12229786	12076852
mh12KK-199	rs1641719	12	12229849	12076915
mh12KK-199	rs1641720	12	12229850	12076916
mh12KK-199	rs6488494	12	12229952	12077018
mh12KK-199	rs139574449	12	12229886	12076952
mh12KK-201	rs11049080	12	27800327	27647394
mh12KK-201	rs73084354	12	27800404	27647471
mh12KK-201	rs7959164	12	27800446	27647513
mh12KK-201	rs7959186	12	27800503	27647570
mh12KK-201	rs7972446	12	27800348	27647415
mh12KK-201	rs7138224	12	27800374	27647441
mh12KK-201	rs7959051	12	27800386	27647453
mh12KK-201	rs11049081	12	27800334	27647401
mh12KK-201	rs11834107	12	27800353	27647420
mh12KK-201	rs73084353	12	27800402	27647469
mh12KK-201	rs140345281	12	27800382	27647449
mh12KK-201	rs145035089	12	27800421	27647488
mh12KK-202	rs10506052	12	30170229	30017296
mh12KK-202	rs4931233	12	30170306	30017373
mh12KK-202	rs10506053	12	30170359	30017426
mh12KK-202	rs4931234	12	30170382	30017449
mh12KK-202	rs116560588	12	30170334	30017401
mh12KK-209	rs764902	12	130308483	129823938
mh12KK-209	rs79004033	12	130308529	129823984
mh12KK-209	rs5012151	12	130308630	129824085
mh12KK-209	rs2173910	12	130308673	129824128
mh12KK-209	rs5012152	12	130308640	129824095
mh12KK-209	rs147809360	12	130308528	129823983
mh12KK-209	rs113507589	12	130308491	129823946
mh13KK-213	rs8181845	13	23765541	23191402
mh13KK-213	rs679482	13	23765635	23191496
mh13KK-213	rs9510616	13	23765681	23191542
mh13KK-213	rs8181836	13	23765546	23191407
mh13KK-213	rs2152727	13	23765601	23191462
mh13KK-213	rs186130261	13	23765409	23191270
mh13KK-213	.	13	23765421	.
mh13KK-213	.	13	23765535	.
mh13KK-215	rs1539549	13	36451881	35877744
mh13KK-215	rs4146589	13	36451930	35877793
mh13KK-215	rs1539548	13	36451936	35877799
mh13KK-215	rs1750921	13	36452069	35877932
mh13KK-215	rs1539547	13	36452098	35877961
mh13KK-215	.	13	36451919	.
mh13KK-215	.	13	36452014	.
mh13KK-215	.	13	36452056	.
mh13KK-217	rs7320507	13	46865930	46291795
mh13KK-217	rs9562648	13	46865970	46291835
mh13KK-217	rs9562649	13	46866084	46291949
mh13KK-217	rs2765614	13	46866122	46291987
mh13KK-217	rs9534373	13	46866059	46291924
mh13KK-217	rs76839632	13	46865888	46291753
mh13KK-217	rs2764588	13	46866020	46291885
mh13KK-218	rs9536428	13	54060720	53486585
mh13KK-218	rs1927847	13	54060827	53486692
mh13KK-218	rs9536429	13	54060881	53486746
mh13KK-218	rs7492234	13	54060892	53486757
mh13KK-218	rs9536430	13	54060972	53486837
mh13KK-218	.	13	54060710	.
mh13KK-218	.	13	54060820	.
mh13KK-221	rs112552144	13	101759198	101106847
mh13KK-221	rs608555	13	101759217	101106866
mh13KK-221	rs11843065	13	101759287	101106936
mh13KK-221	rs9300648	13	101759340	101106989
mh13KK-221	rs61973993	13	101759088	101106737
mh13KK-221	rs602728	13	101759119	101106768
mh13KK-221	rs7993431	13	101759165	101106814
mh13KK-221	rs113732191	13	101759143	101106792
mh13KK-221	rs114169269	13	101759205	101106854
mh13KK-221	rs9557588	13	101759144	101106793
mh13KK-221	rs114345885	13	101759330	101106979
mh13KK-221	.	13	101759111	.
mh13KK-222	rs2248394	13	106642687	105990338
mh13KK-222	rs2248391	13	106642741	105990392
mh13KK-222	rs2248388	13	106642810	105990461
mh13KK-222	rs2391263	13	106642880	105990531
mh13KK-222	rs61972611	13	106642794	105990445
mh13KK-222	rs2476747	13	106642895	105990546
mh13KK-222	rs9583061	13	106642766	105990417
mh13KK-222	rs79323262	13	106642815	105990466
mh13KK-222	rs180754893	13	106642744	105990395
mh13KK-222	.	13	106642725	.
mh13KK-223	rs1192204	13	110806699	110154352
mh13KK-223	rs1192205	13	110806742	110154395
mh13KK-223	rs3825483	13	110806759	110154412
mh13KK-223	rs3825481	13	110806852	110154505
mh13KK-223	rs1192203	13	110806689	110154342
mh13KK-223	rs3825482	13	110806789	110154442
mh13KK-223	rs115278730	13	110806786	110154439
mh13KK-223	.	13	110806833	.
mh13KK-225	rs4884651	13	66712732	66138600
mh13KK-225	rs9529023	13	66712790	66138658
mh13KK-225	rs7329287	13	66712828	66138696
mh13KK-225	rs4884652	13	66712815	66138683
mh13KK-225	rs115260715	13	66712751	66138619
mh14KK-048	rs12717560	14	74250557	73783854
mh14KK-048	rs12878166	14	74250715	73784012
mh14KK-048	rs12879393	14	74250730	73784027
mh14KK-048	rs149195448	14	74250553	73783850
mh14KK-227	rs1953862	14	52334089	51867371
mh14KK-227	rs57928440	14	52334164	51867446
mh14KK-227	rs12885784	14	52334203	51867485
mh14KK-227	rs17124680	14	52334242	51867524
mh14KK-227	rs114965032	14	52334225	51867507
mh14KK-227	rs146988848	14	52334254	51867536
mh14KK-227	rs148884074	14	52334233	51867515
mh14KK-227	.	14	52334281	.
mh14KK-227	.	14	52334303	.
mh15KK-066	rs1063902	15	52484950	52192753
mh15KK-066	rs4219	15	52485024	52192827
mh15KK-066	rs1077383	15	52484841	52192644
mh15KK-066	rs147715323	15	52484831	52192634
mh15KK-066	rs183816954	15	52484871	52192674
mh15KK-066	rs148957716	15	52485089	52192892
mh15KK-067	rs701463	15	46870734	46578536
mh15KK-067	rs701464	15	46870855	46578657
mh15KK-067	rs7183984	15	46870829	46578631
mh15KK-067	rs79763993	15	46870730	46578532
mh15KK-067	.	15	46870925	.
mh16KK-011	rs390112	16	84285777	84252171
mh16KK-011	rs390379	16	84285828	84252222
mh16KK-011	rs422842	16	84285849	84252243
mh16KK-011	rs7190826	16	84285862	84252256
mh16KK-011	rs441199	16	84285924	84252318
mh16KK-011	rs426580	16	84285833	84252227
mh16KK-011	rs76460635	16	84285801	84252195
mh16KK-011	rs188060999	16	84285825	84252219
mh16KK-011	rs74957131	16	84285738	84252132
mh16KK-049	rs9937467	16	7209208	7159207
mh16KK-049	rs17670098	16	7209247	7159246
mh16KK-049	rs17670111	16	7209267	7159266
mh16KK-049	rs12929083	16	7209311	7159310
mh16KK-049	rs9926495	16	7209381	7159380
mh16KK-049	rs9937460	16	7209185	7159184
mh16KK-049	rs184573741	16	7209200	7159199
mh16KK-049	rs72765534	16	7209318	7159317
mh16KK-049	rs72765535	16	7209428	7159427
mh16KK-049	rs11642586	16	7209434	7159433
mh16KK-049	rs113511754	16	7209248	7159247
mh16KK-049	rs115605200	16	7209370	7159369
mh16KK-049	rs74009271	16	7209203	7159202
mh16KK-049	rs149818672	16	7209228	7159227
mh16KK-049	.	16	7209296	.
mh16KK-049	.	16	7209343	.
mh16KK-255	rs16956011	16	81970353	81936748
mh16KK-255	rs3934955	16	81970366	81936761
mh16KK-255	rs3934956	16	81970407	81936802
mh16KK-255	rs4073828	16	81970495	81936890
mh16KK-255	rs3934954	16	81970359	81936754
mh16KK-255	rs3934957	16	81970471	81936866
mh16KK-255	rs149471008	16	81970352	81936747
mh16KK-255	rs62044947	16	81970448	81936843
mh16KK-255	rs184092108	16	81970396	81936791
mh16KK-255	rs117206377	16	81970469	81936864
mh16KK-255	.	16	81970449	.
mh16KK-255	.	16	81970494	.
mh16KK-259	rs10163264	16	83973898	83940293
mh16KK-259	rs10163267	16	83973918	83940313
mh16KK-259	rs10163270	16	83973956	83940351
mh16KK-259	rs8058168	16	83974066	83940461
mh16KK-259	rs145717803	16	83973947	83940342
mh16KK-259	rs148944690	16	83974010	83940405
mh16KK-259	rs143423041	16	83973836	83940231
mh16KK-259	rs78983027	16	83973965	83940360
mh16KK-259	rs140436204	16	83973881	83940276
mh16KK-259	.	16	83973819	.
mh16KK-259	.	16	83973984	.
mh16KK-262	rs825589	16	87669371	87635765
mh16KK-262	rs825588	16	87669407	87635801
mh16KK-262	rs863752	16	87669535	87635929
mh16KK-262	rs861133	16	87669545	87635939
mh16KK-262	rs61069393	16	87669563	87635957
mh16KK-262	rs79458371	16	87669562	87635956
mh16KK-262	rs193263518	16	87669318	87635712
mh16KK-262	.	16	87669342	.
mh16KK-262	.	16	87669385	.
mh16KK-262	.	16	87669386	.
mh16KK-302	rs1395579	16	7587734	7537732
mh16KK-302	rs1395580	16	7587746	7537744
mh16KK-302	rs1395582	16	7587804	7537802
mh16KK-302	rs9939248	16	7587847	7537845
mh16KK-302	rs1507022	16	7587676	7537674
mh16KK-302	rs1395581	16	7587755	7537753
mh16KK-302	rs377520498	16	7587771	7537769
mh17KK-012	rs56342141	17	77141265	79145183
mh17KK-012	rs7211056	17	77141360	79145278
mh17KK-012	rs55949744	17	77141407	79145325
mh17KK-012	rs4789870	17	77141415	79145333
mh17KK-012	rs55877426	17	77141445	79145363
mh17KK-012	rs55714291	17	77141271	79145189
mh17KK-012	rs56069218	17	77141277	79145195
mh17KK-012	rs7211029	17	77141308	79145226
mh17KK-012	rs76332411	17	77141394	79145312
mh17KK-012	rs145799703	17	77141305	79145223
mh17KK-012	.	17	77141433	.
mh17KK-013	rs11651201	17	77276463	79280381
mh17KK-013	rs11651204	17	77276516	79280434
mh17KK-013	rs8074560	17	77276546	79280464
mh17KK-013	rs1563446	17	77276591	79280509
mh17KK-013	rs4465632	17	77276608	79280526
mh17KK-013	rs72848020	17	77276404	79280322
mh17KK-013	rs147699838	17	77276648	79280566
