Marker	Extent	Ae	Repeats
mh02SCUZJ-0105665	275	4.23	LINE>L1>L1ME3D[chr2:31231168-31231550]
mh02SCUZJ-0157891	195	4.578	LINE>L1>L1PA2[chr2:45059559-45065587]
mh02SCUZJ-0160617	310	4.196	LINE>L1>L1MB3[chr2:45806419-45806714]
mh02SCUZJ-0190002.v1	184	5.051	SINE>Alu>AluY[chr2:54388912-54389218]
mh02SCUZJ-0190002.v2	317	8.423	SINE>Alu>AluY[chr2:54388912-54389218]
mh02SCUZJ-0232405	231	3.211	SINE>Alu>AluSx[chr2:70337157-70337447];SINE>Alu>AluJb[chr2:70337477-70337598]
mh02SCUZJ-0244318.v1	215	3.451	SINE>Alu>AluSx3[chr2:75550841-75551121]
mh02SCUZJ-0244318.v2	319	4.335	SINE>Alu>AluSx3[chr2:75550841-75551121]
mh02SCUZJ-0250065	342	5.034	LINE>L1>L1PA2[chr2:76795804-76801677]
mh02SCUZJ-0253084	148	2.44	LTR>ERV1>HERVH-int[chr2:77088676-77091793]
mh02SCUZJ-0268507	298	5.285	SINE>Alu>AluY[chr2:79948687-79948969]
mh02SCUZJ-0308581.v1	286	10.294	SINE>Alu>AluY[chr2:101649167-101649496]
mh02SCUZJ-0308581.v2	202	5.089	SINE>Alu>AluY[chr2:101649167-101649496]
mh02SCUZJ-0378972	178	3.117	LINE>L1>L1MA9[chr2:129012506-129014134]
mh02SCUZJ-0390961.v1	151	6.574	SINE>Alu>AluY[chr2:132895049-132895368]
mh02SCUZJ-0390961.v2	58	3.5	SINE>Alu>AluY[chr2:132895049-132895368]
mh02SCUZJ-0419421	299	5.399	SINE>Alu>AluY[chr2:141413948-141414259]
mh02SCUZJ-0461323	321	3.428	SINE>Alu>AluSc[chr2:159233717-159234005];SINE>Alu>AluY[chr2:159234044-159234322]
mh02SCUZJ-0485101	282	5.35	SINE>Alu>AluJr[chr2:167654490-167654795]
mh02SCUZJ-0497317	304	4.794	LTR>ERV1>HERVH-int[chr2:170979121-170982983]
mh02SCUZJ-0510209	342	4.886	SINE>Alu>AluSx1[chr2:175550349-175550661]
mh02SCUZJ-0611908	333	4.988	LTR>ERVL>LTR32[chr2:222487569-222488105]
mh02SCUZJ-0634240	228	3.12	SINE>Alu>AluSx1[chr2:228505473-228505804];LINE>L2>L2b[chr2:228505804-228506267]
mh02SCUZJ-0637033	127	3.91	SINE>Alu>AluSx1[chr2:229515635-229515941]
mh02SCUZJ-0642566	349	4.468	SINE>Alu>AluJr[chr2:230982606-230982890];SINE>Alu>AluSc[chr2:230982916-230983221]
mh02SCUZJ-0643696	281	9.814	SINE>Alu>AluY[chr2:231433217-231433527]
mh02SCUZJ-0653761	253	3.798	SINE>Alu>AluSq2[chr2:233965845-233966149]
mh02SHY-002.v1	198	3.902	LTR>ERV1>LTR45C[chr2:132757708-132758226]
mh02ZBF-001	89	1.531	SINE>Alu>AluSx3[chr2:99401775-99402029]
mh02ZHA-003	271	3.417	SINE>Alu>AluSq2[chr2:79852907-79853162]
mh02ZHA-013.v1	101	4.592	SINE>Alu>AluY[chr2:137936235-137936540]
mh02ZHA-013.v2	187	9.158	SINE>Alu>AluY[chr2:137936235-137936540]
mh02ZHA-013.v3	78	4.754	SINE>Alu>AluY[chr2:137936235-137936540]
mh03CP-005	12	2.082	SINE>Alu>AluSp[chr3:15642881-15643054]
mh03LV-01.v1	321	31.41	SINE>Alu>AluJb[chr3:4567603-4567899]
mh03LV-01.v2	195	22.697	SINE>Alu>AluJb[chr3:4567603-4567899]
mh03LV-01.v3	139	8.796	SINE>Alu>AluJb[chr3:4567603-4567899]
mh03LV-07.v1	198	13.475	SINE>Alu>AluY[chr3:5783461-5783758]
mh03LV-07.v2	256	13.881	SINE>Alu>AluY[chr3:5783461-5783758]
mh03SCUZJ-0000972.v1	300	7.369	SINE>Alu>AluY[chr3:242314-242595]
mh03SCUZJ-0000972.v2	220	19.99	SINE>Alu>AluY[chr3:242314-242595]
mh03SCUZJ-0048040	122	4.603	LINE>L1>L1MC3[chr3:7219506-7220805]
mh03SCUZJ-0048662	339	10.503	LINE>L2>L2a[chr3:7330289-7330451];LTR>ERVL-MaLR>THE1B[chr3:7330451-7330810]
mh03SCUZJ-0056495	331	11.162	LTR>ERVL-MaLR>MLT1A0[chr3:8606083-8606429]
mh03SCUZJ-0058881	244	4.448	SINE>Alu>AluJr[chr3:9048539-9048841];LINE>L2>L2a[chr3:9048841-9048998]
mh03SCUZJ-0064731	339	3.615	LTR>ERVL>LTR33[chr3:10780773-10781196]
mh03SCUZJ-0080612	231	10.814	LTR>ERVL-MaLR>THE1A[chr3:15550990-15551341]
mh03SCUZJ-0101318	274	4.086	SINE>Alu>AluSc[chr3:21837591-21837886]
mh03SCUZJ-0105398	304	5.33	LTR>ERV1>LTR49[chr3:22162209-22162850]
mh03SCUZJ-0130995	332	3.889	LINE>L1>L1ME3G[chr3:28737432-28737783]
mh03SCUZJ-0139620	69	3.907	SINE>Alu>AluYe6[chr3:30525617-30525914]
mh03SCUZJ-0154827	322	5.745	SINE>Alu>AluSg[chr3:34214011-34214293]
mh03SCUZJ-0165954	299	3.517	SINE>Alu>AluY[chr3:38772407-38772691]
mh03SCUZJ-0197004	338	8.228	LTR>ERVL-MaLR>MLT1C-int[chr3:54452442-54452663];LTR>ERVL-MaLR>MLT1C[chr3:54452663-54452975]
mh03SCUZJ-0204490	280	4.651	SINE>Alu>AluSg[chr3:56795655-56795934]
mh03SCUZJ-0214757	200	4.309	LINE>L1>L1MA2[chr3:60494330-60495299]
mh03SCUZJ-0234425	276	9.114	SINE>Alu>AluSp[chr3:65287327-65287625]
mh03SCUZJ-0306913	231	4.612	LINE>L1>L1MA3[chr3:88255029-88255436]
mh03SCUZJ-0392555	260	2.943	LINE>L1>L1PA3[chr3:119045132-119051153]
mh03SCUZJ-0400856	299	3.735	LINE>L1>L1PA6[chr3:122442829-122443535]
mh03SCUZJ-0455199	332	3.363	LINE>L1>L1PA6[chr3:139877463-139883576]
mh03SCUZJ-0473203	344	4.092	LTR>ERV1>HERVH-int[chr3:145552223-145552882];LTR>ERV1>HERVH-int[chr3:145552884-145553381]
mh03SCUZJ-0501341	189	5.986	SINE>Alu>AluSx[chr3:154997340-154997641];LTR>ERVL-MaLR>MLT1B[chr3:154997641-154997812]
mh03SCUZJ-0521312	186	10.759	SINE>Alu>AluY[chr3:162350500-162350795]
mh03SCUZJ-0556403	308	6.458	SINE>Alu>AluYj4[chr3:172616513-172616818]
mh03SCUZJ-0556515	28	2.972	SINE>Alu>AluY[chr3:172627885-172628194]
mh03SCUZJ-0589868	346	4.053	LINE>L1>HAL1[chr3:185905053-185905098];SINE>Alu>AluSz[chr3:185905100-185905407]
mh03SCUZJ-0630191	335	8.546	LTR>ERV1>MER41D[chr3:194339377-194339739]
mh03SHY-001	177	5.622	LINE>L2>L2a[chr3:2153107-2153611]
mh03ZHA-009	344	4.369	SINE>Alu>AluJo[chr3:3117055-3117339]
mh04CP-003	28	2.92	LINE>L2>L2[chr4:4324641-4324860]
mh04CP-004	29	2.669	LINE>L1>L1M5[chr4:7402706-7402931]
mh04KK-016	67	2.044	LINE>L1>L1MEc[chr4:99392791-99393128]
mh04LW-13	76	3.291	LTR>ERV1>LTR12C[chr4:36374760-36376066]
mh04LW-16	69	2.067	SINE>Alu>AluSp[chr4:154216352-154216635]
mh04SCUZJ-0003326	338	7.845	SINE>Alu>AluY[chr4:998963-999231]
mh04SCUZJ-0010543	42	3.052	SINE>Alu>AluY[chr4:2505328-2505624]
mh04SCUZJ-0017022	138	5.483	LTR>ERV1>HERVE-int[chr4:3893333-3897169]
mh04SCUZJ-0019973	303	5.137	LTR>ERV1>HERVH-int[chr4:4002581-4005412]
mh04SCUZJ-0038724	321	5.902	SINE>Alu>AluY[chr4:6627424-6627734];SINE>Alu>AluSx3[chr4:6627734-6627919]
mh04SCUZJ-0041270	296	5.274	LINE>L1>L1MB8[chr4:7222125-7222632]
mh04SCUZJ-0094786	261	4.615	SINE>Alu>AluSx3[chr4:16286779-16287088];LINE>L1>L1M5[chr4:16287088-16287485]
mh04SCUZJ-0126299	213	4.259	LTR>ERVL-MaLR>MSTB1[chr4:24281214-24281636]
mh04SCUZJ-0128388	315	4.463	SINE>Alu>AluSg[chr4:24904889-24905198];LINE>L1>L1ME1[chr4:24905198-24905360]
mh04SCUZJ-0175374	306	3.245	LTR>ERVL>LTR16A[chr4:36422967-36423276]
mh04SCUZJ-0216446.v1	241	4.037	LTR>ERVL>MLT2D[chr4:47001053-47001134];SINE>Alu>AluY[chr4:47001134-47001441]
mh04SCUZJ-0216446.v2	316	5.605	SINE>Alu>AluY[chr4:47001134-47001441];LTR>ERVL>MLT2D[chr4:47001441-47001797]
mh04SCUZJ-0246595	346	7.154	LTR>ERV1>MER51-int[chr4:58493826-58495006]
mh04SCUZJ-0323171	333	5.052	SINE>Alu>AluY[chr4:76551870-76552161];SINE>Alu>AluJb[chr4:76552224-76552506]
mh04SCUZJ-0374334	309	4.19	SINE>Alu>AluY[chr4:94857936-94858249]
mh04SCUZJ-0403151	326	3.606	LTR>ERV1>MER34A[chr4:105561642-105562217]
mh04SCUZJ-0414863	257	4.586	SINE>Alu>AluSg[chr4:110267067-110267360]
mh04SCUZJ-0418776	251	4.366	LINE>L1>L1ME2[chr4:111418760-111419710];SINE>Alu>AluSz[chr4:111419710-111419734]
mh04SCUZJ-0442262	306	4.375	LTR>ERV1>LTR12C[chr4:118976073-118977610]
mh04SCUZJ-0474140	245	3.473	SINE>Alu>AluSx[chr4:128730298-128730608];SINE>Alu>AluJb[chr4:128730681-128730904]
mh04SCUZJ-0474306	329	15.053	SINE>Alu>AluYm1[chr4:128761262-128761567]
mh04SCUZJ-0483017	233	3.182	LINE>L1>L1PA4[chr4:130642742-130644554]
mh04SCUZJ-0515541	166	3.177	LINE>L1>L1MD2[chr4:138589825-138590748]
mh04SCUZJ-0518603	268	3.938	SINE>Alu>AluY[chr4:139691713-139691998]
mh04SCUZJ-0536901	249	5.482	LINE>L2>L2a[chr4:145904273-145905051]
mh04SCUZJ-0573519	258	3.739	SINE>Alu>AluSx[chr4:160449889-160450200]
mh04SCUZJ-0576302	163	3.974	SINE>Alu>AluY[chr4:161024461-161024777]
mh04SCUZJ-0580985	260	4.595	SINE>Alu>AluSc8[chr4:161813030-161813327]
mh04SCUZJ-0585795	310	4.336	LTR>ERVL-MaLR>THE1B[chr4:162494158-162494380];SINE>Alu>AluY[chr4:162494380-162494687]
mh04SCUZJ-0606401	348	3.664	LTR>ERV1>HERVH-int[chr4:166521100-166523942]
mh04SCUZJ-0635044.v1	350	6.222	SINE>Alu>AluY[chr4:176130462-176130763]
mh04SCUZJ-0635044.v2	133	3.714	SINE>Alu>AluY[chr4:176130462-176130763]
mh04SCUZJ-0639864	253	7.331	SINE>Alu>AluY[chr4:177231100-177231389]
mh04SCUZJ-0666563	312	7.622	SINE>Alu>AluY[chr4:181766970-181767280];LINE>L1>L1MC4[chr4:181767280-181767411]
mh04SCUZJ-0668434	198	3.722	SINE>Alu>AluJr[chr4:182326556-182326842]
mh04SCUZJ-0675378	314	5.575	SINE>Alu>AluYh3[chr4:183593041-183593206]
mh04SCUZJ-0684549.v1	99	4.393	SINE>Alu>AluY[chr4:185239200-185239500]
mh04SCUZJ-0684549.v2	182	5.793	SINE>Alu>AluY[chr4:185239200-185239500]
mh04SCUZJ-0696971	318	3.763	SINE>Alu>AluYa5[chr4:187529034-187529325];SINE>Alu>AluSc[chr4:187529342-187529629]
mh04WL-012.v3	209	6.209	SINE>Alu>AluSg[chr4:56926075-56926372]
mh04ZHA-001	84	2.979	LINE>L1>L1MB5[chr4:9588275-9588445]
mh04ZHA-007	79	1.955	LTR>ERV1>MER51-int[chr4:114556821-114561175]
mh05HYP-14	68	1.976	LTR>ERV1>LTR7[chr5:18674152-18674598]
mh05LW-18	78	2.432	LTR>ERV1>MER110A[chr5:125204686-125204826]
mh05SCUZJ-0019879	155	6.156	SINE>Alu>AluSg[chr5:3016784-3017084];LINE>L1>L1ME2[chr5:3017084-3017913]
mh05SCUZJ-0042261	349	3.621	LTR>ERVL-MaLR>THE1B[chr5:7913186-7913545]
mh05SCUZJ-0050609	349	13.539	SINE>Alu>AluY[chr5:9221294-9221601]
mh05SCUZJ-0152132	291	3.018	SINE>Alu>AluYe5[chr5:39481141-39481448]
mh05SCUZJ-0157735	290	3.749	LINE>L1>L1M5[chr5:40965942-40966084];LINE>L1>L1PB1[chr5:40966122-40966367]
mh05SCUZJ-0215771	150	4.442	SINE>Alu>AluYa5[chr5:65909618-65909915];LINE>L1>L1MB4[chr5:65909949-65910129]
mh05SCUZJ-0218741	345	7.578	LINE>RTE-X>L4_C_Mam[chr5:66981024-66981313]
mh05SCUZJ-0263460	149	4.74	LINE>L1>L1PA4[chr5:84677555-84678060]
mh05SCUZJ-0269128	212	8.475	SINE>Alu>AluY[chr5:85750662-85750969]
mh05SCUZJ-0315595	338	2.599	SINE>Alu>AluSp[chr5:108154312-108154607]
mh05SCUZJ-0341693	263	8.198	SINE>Alu>AluY[chr5:116040728-116040993]
mh05SCUZJ-0378712	245	4.831	SINE>Alu>AluSg[chr5:126547769-126548067]
mh05SCUZJ-0427297.v1	304	2.38	LTR>ERV1>HERVH-int[chr5:147864644-147866703]
mh05SCUZJ-0427297.v2	214	1.0	LTR>ERV1>HERVH-int[chr5:147864644-147866703]
mh05SCUZJ-0468213	186	3.547	LINE>L1>L1PA6[chr5:161071357-161077370]
mh05SCUZJ-0491123	234	5.021	SINE>Alu>AluSq[chr5:168875349-168875660]
mh05SCUZJ-0525156.v1	287	13.538	SINE>Alu>AluY[chr5:178985423-178985722]
mh05SCUZJ-0525156.v2	192	5.004	SINE>Alu>AluY[chr5:178985423-178985722]
mh05SCUZJ-0529358	273	17.094	SINE>Alu>AluY[chr5:180190205-180190517]
mh05SHY-001	190	5.426	LTR>ERVL-MaLR>MLT1C[chr5:2783304-2783750]
mh05SHY-003	197	4.571	LINE>L1>L1M5[chr5:5898856-5899380]
mh05ZHA-004	173	3.035	LTR>ERVL>ERV3-16A3_LTR[chr5:175541450-175541796]
mh05ZHA-005	309	3.159	LINE>L2>L2a[chr5:166300540-166301066]
mh06CP-003	28	2.99	LINE>L1>L1MEi[chr6:5561204-5562201]
mh06KK-025	148	2.575	LTR>ERV1>LTR12C[chr6:2935664-2937343]
mh06KK-090.v1	280	5.354	LTR>ERV1>LTR71B[chr6:29970003-29970366]
mh06KK-090.v2	280	5.357	LTR>ERV1>LTR71B[chr6:29970003-29970366]
mh06KK-101	187	1.673	LINE>L1>L1MC5[chr6:170280852-170281439]
mh06KK-104	188	5.063	LINE>L2>L2a[chr6:165385504-165385623]
mh06LV-09	193	6.793	LTR>ERVK>HERVK22-int[chr6:33049697-33056518];LTR>ERVK>HERVK22-int[chr6:33056515-33056652]
mh06LW-21	75	3.914	LTR>ERVK>LTR5A[chr6:52947697-52948713]
mh06LW-22	61	3.813	LINE>L1>L1PA6[chr6:152608998-152615129]
mh06PK-24844	55	2.234	LTR>ERV1>LTR12C[chr6:13859812-13861505]
mh06SCUZJ-0000232	251	6.381	SINE>Alu>AluY[chr6:231072-231377]
mh06SCUZJ-0028667	239	4.478	LTR>ERV1>LTR12C[chr6:6612149-6613802]
mh06SCUZJ-0044939	253	4.265	LTR>ERVL-MaLR>MLT1F2[chr6:10127660-10128219]
mh06SCUZJ-0056888.v1	188	3.301	SINE>Alu>AluYa5[chr6:13335433-13335732]
mh06SCUZJ-0056888.v2	347	5.237	SINE>Alu>AluYa5[chr6:13335433-13335732];SINE>Alu>AluJr4[chr6:13335791-13336063]
mh06SCUZJ-0062900	270	3.084	SINE>Alu>AluY[chr6:15282971-15283277]
mh06SCUZJ-0089255	332	3.54	SINE>Alu>AluY[chr6:23733830-23734145];LINE>L1>L1PA5[chr6:23734147-23734941]
mh06SCUZJ-0126880	158	5.188	SINE>Alu>AluY[chr6:29874446-29874750]
mh06SCUZJ-0167872	311	5.226	LTR>ERV1>LTR43-int[chr6:31210883-31211160];LTR>ERV1>LTR43[chr6:31211160-31211776]
mh06SCUZJ-0458246	262	5.071	LTR>ERV1>PABL_A-int[chr6:52706162-52708671]
mh06SCUZJ-0610307	292	6.536	LINE>L1>L1PA16[chr6:96646703-96646926]
mh06SCUZJ-0638919.v1	335	4.33	SINE>Alu>AluY[chr6:106482493-106482811];LINE>L1>L1MA6[chr6:106482857-106483887]
mh06SCUZJ-0638919.v2	192	3.124	SINE>Alu>AluY[chr6:106482493-106482811]
mh06SCUZJ-0663860	346	4.058	LTR>ERV1>LTR12C[chr6:115833337-115835163]
mh06SCUZJ-0758459.v1	328	8.495	SINE>Alu>AluY[chr6:150090974-150091238]
mh06SCUZJ-0758459.v2	311	3.013	SINE>Alu>AluY[chr6:150090974-150091238]
mh06SCUZJ-0775073	234	3.872	SINE>Alu>AluYe5[chr6:153728684-153728986]
mh06SCUZJ-0777684	343	4.734	SINE>Alu>AluJr[chr6:154385789-154386059];SINE>Alu>AluSg[chr6:154386305-154386607]
mh06SCUZJ-0794653	313	8.28	SINE>Alu>AluYm1[chr6:159532546-159532866]
mh06SCUZJ-0819423	333	4.526	LINE>L1>L1PA7[chr6:164976250-164978789]
mh06SCUZJ-0845279	272	4.639	SINE>Alu>AluSx1[chr6:168825166-168825454]
mh06SHY-003	91	4.374	LINE>L1>L1ME3B[chr6:32605624-32605941]
mh06SHY-005.v1	161	6.423	LTR>ERVL-MaLR>MLT1G1[chr6:82068684-82069065]
mh06SHY-005.v2	340	8.757	SINE>Alu>AluY[chr6:82068274-82068561];LTR>ERVL-MaLR>MLT1G1[chr6:82068684-82069065]
mh06WL-061	297	3.683	LINE>RTE-X>L4_A_Mam[chr6:53605990-53606180]
mh07FHL-001	149	3.753	LINE>L1>L1M5[chr7:7810245-7810377]
mh07FHL-002.v1	150	4.67	LINE>L1>L1MB3[chr7:21860184-21860719]
mh07FHL-002.v2	330	5.682	LINE>L1>L1MB3[chr7:21860184-21860719]
mh07FHL-004	209	4.631	LINE>L1>L1M1[chr7:64060603-64065132]
mh07HYP-19.v2	257	3.488	LINE>L1>L1MC1[chr7:48417537-48418574]
mh07HYP-19.v3	345	5.331	LINE>L1>L1MC1[chr7:48417537-48418574]
mh07HYP-20	48	2.341	LTR>ERVL-MaLR>MSTA[chr7:70834790-70835205]
mh07LW-23	56	2.595	SINE>Alu>AluSq2[chr7:75810493-75810805]
mh07SCUZJ-0003371	337	1.51	SINE>Alu>AluY[chr7:283093-283405]
mh07SCUZJ-0003928	311	7.385	SINE>Alu>AluYh3[chr7:310318-310627]
mh07SCUZJ-0018090	252	7.092	SINE>Alu>AluY[chr7:2696257-2696556]
mh07SCUZJ-0027619	244	6.8	SINE>Alu>AluSx[chr7:4475721-4476027]
mh07SCUZJ-0039245	338	14.283	LTR>ERVK>LTR5A[chr7:6883374-6884389]
mh07SCUZJ-0040173	342	3.583	SINE>Alu>AluSx1[chr7:6932123-6932421]
mh07SCUZJ-0053702	210	3.993	LINE>L1>L1MC1[chr7:9085363-9086012]
mh07SCUZJ-0081095	305	4.123	LTR>ERVL>MLT2B1[chr7:13254379-13254856]
mh07SCUZJ-0091827	339	3.959	SINE>Alu>AluY[chr7:15843482-15843780]
mh07SCUZJ-0093911	281	4.013	LINE>L1>L1M4[chr7:16343122-16344283]
mh07SCUZJ-0114457	210	4.343	LTR>ERV1>HERVH-int[chr7:20547152-20548843]
mh07SCUZJ-0130504	348	7.175	LINE>L2>L2[chr7:24112511-24112736]
mh07SCUZJ-0153825	217	3.29	LINE>L1>L1MC3[chr7:31753986-31755571]
mh07SCUZJ-0177079	186	3.477	SINE>Alu>AluJr[chr7:38115599-38115898]
mh07SCUZJ-0203471	294	4.485	SINE>Alu>AluSg[chr7:47242799-47243089]
mh07SCUZJ-0232374	301	5.478	LINE>L1>L1M4[chr7:53100836-53102427]
mh07SCUZJ-0269727	261	4.478	LINE>L1>L1M1[chr7:64328770-64330155]
mh07SCUZJ-0279301	144	3.672	SINE>Alu>AluSx1[chr7:67013103-67013422]
mh07SCUZJ-0282207	253	3.774	SINE>Alu>AluY[chr7:67315512-67315814]
mh07SCUZJ-0309217	332	6.405	SINE>Alu>AluSp[chr7:76417051-76417358]
mh07SCUZJ-0311471	285	3.803	SINE>Alu>AluSx[chr7:77048481-77048631]
mh07SCUZJ-0325681	314	5.273	SINE>Alu>AluSc8[chr7:80701260-80701547]
mh07SCUZJ-0339304	326	2.296	LINE>L1>L1PA4[chr7:84402951-84409055]
mh07SCUZJ-0360945	326	3.659	LINE>L1>L1M4[chr7:92980744-92981480]
mh07SCUZJ-0388024	301	2.643	LINE>L1>L1PA2[chr7:103872064-103872994]
mh07SCUZJ-0395598	199	7.383	SINE>Alu>AluY[chr7:105475193-105475484]
mh07SCUZJ-0400472	106	6.579	SINE>Alu>AluSc8[chr7:107004161-107004451]
mh07SCUZJ-0411309	281	7.418	SINE>Alu>AluY[chr7:112445058-112445365]
mh07SCUZJ-0428708	91	5.389	LINE>L1>L1MC3[chr7:122986786-122987343]
mh07SCUZJ-0462646	345	8.239	SINE>Alu>AluSc8[chr7:135766079-135766386]
mh07SCUZJ-0475111	185	1.918	SINE>Alu>AluSg[chr7:140415671-140415916]
mh07SCUZJ-0507175	319	3.904	LTR>ERV1>LTR49-int[chr7:150549075-150550493]
mh07SCUZJ-0515002	198	3.745	SINE>Alu>AluYm1[chr7:151980737-151981044]
mh07SCUZJ-0536318	141	5.212	LTR>ERVL-MaLR>MLT1D[chr7:155604202-155604593]
mh07SCUZJ-0543221	286	3.419	LINE>L1>L1MB7[chr7:156961442-156961671]
mh07SHY-001.v1	100	3.464	LTR>ERVL-MaLR>THE1A[chr7:22879736-22880085]
mh07SHY-001.v2	276	3.931	LTR>ERVL-MaLR>THE1A[chr7:22879736-22880085]
mh07SHY-002	113	4.282	LTR>ERV1>MER41A[chr7:67521213-67521745]
mh07WL-020.v2	293	5.894	LINE>RTE-X>L4_A_Mam[chr7:68993543-68993808]
mh07WL-020.v3	314	6.524	LINE>RTE-X>L4_A_Mam[chr7:68993543-68993808]
mh07ZBF-001	82	1.314	SINE>Alu>AluSq2[chr7:12509803-12510054]
mh07ZHA-003	100	2.454	LINE>L2>L2a[chr7:41401884-41402524]
mh07ZHA-009	176	2.746	LINE>L1>L1PA3[chr7:104209736-104215889]
mh08CP-009	17	2.921	LTR>ERVL-MaLR>MLT1D[chr8:112167870-112168374]
mh08HYP-22	68	1.926	SINE>Alu>AluJb[chr8:101107496-101107796]
mh08LW-24	76	3.135	LTR>ERV1>LTR12C[chr8:92428423-92429784]
mh08SCUZJ-0001380	135	2.411	LTR>ERV1>LTR2C[chr8:296489-296708]
mh08SCUZJ-0027072	313	4.093	SINE>Alu>AluSc8[chr8:2928186-2928488];LINE>L1>L1MC[chr8:2928490-2928784]
mh08SCUZJ-0055163	297	4.34	SINE>Alu>AluY[chr8:4004732-4005003];LINE>L1>L1PB1[chr8:4005003-4005292]
mh08SCUZJ-0082014	315	11.246	SINE>Alu>AluYf1[chr8:5288779-5289041]
mh08SCUZJ-0088755	257	3.96	SINE>Alu>AluSg4[chr8:5632835-5633124]
mh08SCUZJ-0115265	350	17.3	LTR>ERVK>LTR5A[chr8:7126986-7128007]
mh08SCUZJ-0149946	273	5.066	LINE>L1>L1MB7[chr8:13857718-13858908]
mh08SCUZJ-0152604	291	3.711	LTR>ERV1>MER50B[chr8:13960053-13960759]
